Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for Scotland W
Areal series, starting in 1891
Last updated 01-Jan-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1933   14.5   16.4   16.8   13.5   15.3   10.2   17.6   17.7    5.2   16.4   11.0    9.9    50.9    45.6    45.5    32.7   164.5
1934   22.9    6.3   18.1   16.3   16.2   11.0   17.2   19.9   23.1   24.6   10.5   25.1    39.2    50.6    48.2    58.1   211.3
1935   13.4   21.1   12.5   15.0    5.2   20.0   13.5   13.3   19.2   25.4   21.3   16.2    59.6    32.6    46.7    66.0   196.1
1936   20.5   14.1   16.1    8.0    9.7   11.8   21.0   15.9   13.9   17.1   18.7   23.1    50.8    33.8    48.6    49.7   190.0
1937   21.9   22.9    9.8   14.0   11.1   13.2   16.6   13.0   17.4   14.2    8.4   13.3    67.9    34.9    42.7    40.0   175.7
1938   23.7   13.1   18.2    4.4   15.8   19.2   17.9   14.6   18.3   26.1   25.2   20.2    50.1    38.4    51.8    69.5   216.8
1939   16.0   22.9   19.1   13.7    8.5   11.2   20.7   11.2    9.5   11.0   24.7   11.3    59.0    41.3    43.1    45.2   179.6
1940   12.0   12.6   19.7   15.9   10.5    7.7   20.7   14.2   15.9   16.2   21.8   18.8    35.9    46.0    42.5    53.8   185.7
1941    8.2   16.0   13.6   12.4   11.7    7.6   16.3   21.6    9.5   16.1   17.2   16.4    42.9    37.7    45.5    42.8   166.5
1942   19.8    9.5   15.2    9.7   12.9    8.1   19.3   20.2   21.4   21.9    8.2   23.5    45.7    37.8    47.7    51.5   189.7
1943   21.1   19.3   13.6   17.8   15.2   19.2   13.9   24.2   18.2   20.0   18.1   14.3    63.9    46.6    57.3    56.2   214.8
1944   23.2   12.8    7.5   14.2   13.7   17.9   14.6   15.7   16.9   19.2   23.0   20.1    50.3    35.5    48.1    59.1   198.8
1945   14.3   23.8   12.8   11.8   18.4   20.1   12.7    9.4   16.9   14.6    6.4   19.4    58.2    43.0    42.2    37.9   180.6
1946   19.7   16.7   12.5   10.9    8.8   19.5   19.7   20.5   24.0    5.6   21.5   18.7    55.8    32.2    59.7    51.1   198.1
1947   15.7    5.5   18.3   20.5   18.8   20.3   17.4    0.9   18.4   12.6   18.3   13.0    39.9    57.6    38.5    49.3   179.7
1948   25.1   14.7   13.9   16.1    9.8   19.4   14.3   18.7   22.0   20.7   15.2   19.7    52.8    39.7    52.3    57.9   209.3
1949   21.5   19.6   11.9   20.5   14.9    9.0    9.2   16.3   10.1   21.1   21.8   27.2    60.7    47.2    34.6    53.0   203.0
