Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for Scotland E
Areal series, starting in 1884
Last updated 01-Jan-2022 11:01
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1926    2.6    3.3    4.3    6.6    7.1   11.0   13.9   13.2   10.8    4.9    3.3    3.1    1.92    5.99   12.71    6.28    7.01
1927    2.3    2.6    4.6    4.9    6.9    8.9   13.3   12.8    9.2    7.5    3.7   -0.0    2.67    5.47   11.70    6.82    6.42
1928    2.6    3.0    2.9    5.5    7.7    9.0   12.4   12.1    9.6    6.9    5.0    1.8    1.82    5.37   11.22    7.16    6.56
1929   -0.1   -0.7    4.8    4.1    8.5   10.5   12.7   11.9   11.6    6.5    4.1    3.0    0.38    5.79   11.70    7.39    6.45
1930    2.3   -0.1    2.2    5.6    7.7   12.1   12.7   12.9   10.7    7.4    2.9    2.5    1.79    5.17   12.54    7.01    6.61
1931    1.1    1.3    1.0    5.1    8.6   10.2   12.8   11.2    9.4    6.9    5.4    4.1    1.66    4.90   11.43    7.22    6.46
1932    4.4    3.0    3.2    4.1    7.6   11.1   13.1   13.2    9.9    5.7    3.8    3.9    3.85    4.95   12.45    6.48    6.92
1933    0.5    2.0    4.8    6.8    8.7   12.9   15.2   14.1   11.9    7.7    3.9    2.0    2.12    6.79   14.08    7.79    7.56
1934    3.5    4.1    2.6    4.8    8.4   11.6   14.8   12.4   11.2    7.3    3.9    5.1    3.16    5.27   12.96    7.45    7.49
1935    2.9    2.8    4.6    5.0    7.1   11.4   13.5   13.7   10.1    6.5    3.8    0.5    3.61    5.59   12.89    6.81    6.85
1936    0.6    0.5    3.9    4.1    8.5   11.6   13.2   13.6   11.4    7.2    3.4    3.0    0.51    5.53   12.81    7.33    6.78
1937    2.9    1.6    0.4    6.2    9.1   11.3   13.0   13.2   10.5    7.5    3.9    0.3    2.53    5.26   12.53    7.29    6.70
1938    3.1    3.1    7.2    6.3    7.7   11.0   12.4   12.8   11.1    7.9    5.8    2.2    2.15    7.11   12.07    8.24    7.58
1939    0.9    3.9    3.8    5.5    9.0   11.9   12.6   13.6   11.4    6.1    5.1    1.8    2.30    6.13   12.72    7.50    7.16
1940   -2.0    0.7    3.3    5.3    9.9   13.6   12.2   12.5    9.4    7.3    4.2    2.4    0.17    6.15   12.74    6.96    6.57
1941   -1.9    0.3    1.8    4.0    7.1   11.6   13.6   11.9   12.3    7.5    4.2    3.6    0.27    4.31   12.39    7.98    6.37
1942   -0.3   -0.8    2.0    6.1    7.9   11.0   12.7   13.3   10.4    7.5    3.4    4.2    0.89    5.33   12.31    7.12    6.48
1943    1.8    4.4    4.9    7.6    8.5   11.6   12.6   11.7   10.1    8.4    4.1    2.3    3.41    6.99   11.97    7.52    7.34
1944    3.5    2.0    3.5    7.2    8.1   10.7   13.2   13.3    9.3    6.6    2.7    2.1    2.65    6.29   12.43    6.21    6.89
1945   -1.6    4.2    6.3    6.8    8.5   11.3   14.0   13.0   11.6    8.9    5.5    3.1    1.46    7.17   12.80    8.67    7.64
1946    1.0    2.9    3.4    7.3    8.0   10.7   13.2   11.6   11.0    6.7    5.0    1.3    2.34    6.23   11.84    7.55    6.86
1947    1.0   -2.9   -0.7    5.6    9.1   11.8   13.6   15.1   11.2    8.6    4.0    2.8   -0.10    4.67   13.51    7.95    6.66
1948    1.1    2.6    5.7    6.3    8.1   10.7   12.9   11.7   10.7    7.2    5.3    3.4    2.13    6.71   11.78    7.70    7.14
1949    3.1    3.6    3.0    7.2    8.6   11.4   13.5   13.3   12.4    8.8    4.4    2.8    3.33    6.24   12.75    8.55    7.69
1950    2.7    1.5    5.2    4.7    8.2   12.8   13.0   12.6    9.7    7.2    2.8   -0.7    2.34    6.04   12.79    6.57    6.66
1951    0.9    0.9    1.4    3.7    6.7   10.3   13.2   11.9   10.9    8.2    5.7    3.0    0.31    3.94   11.84    8.25    6.43
1952   -0.8    1.7    3.9    6.9   10.0   10.7   13.3   12.5    8.3    6.4    1.9    1.1    1.30    6.92   12.21    5.55    6.35
1953    2.9    3.3    4.5    4.3    9.7   11.6   12.7   13.0   11.7    8.1    6.0    4.1    2.39    6.18   12.42    8.63    7.68
1954    1.8    0.4    2.8    5.7    8.7   10.7   11.7   11.8    9.2    8.2    4.1    3.8    2.14    5.74   11.39    7.17    6.61
1955    0.2   -1.6    1.6    7.2    7.0   10.8   14.7   14.6   11.6    6.6    5.5    2.3    0.89    5.22   13.38    7.90    6.75
1956    0.7   -0.5    3.5    4.5    9.4   10.4   12.6   10.3   11.2    7.4    4.6    4.2    0.89    5.81   11.10    7.73    6.55
1957    3.1    1.6    6.1    6.5    7.7   11.7   12.9   12.4    9.2    8.1    4.9    2.6    3.01    6.75   12.33    7.39    7.26
1958    0.7    0.9    0.6    5.3    7.4   10.6   13.0   12.7   12.3    8.6    4.3    1.8    1.42    4.42   12.11    8.40    6.55
