Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for Scotland N
Areal series, starting in 1891
Last updated 01-Jan-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1941   11.7   19.9   12.9   13.4   12.8    7.1   17.5   23.6   10.6   21.5   19.1   20.6    52.5    39.2    48.2    51.3   190.9
1942   20.2   13.9   11.6   10.6   12.9   11.7   20.6   17.5   20.9   26.1   15.0   23.9    54.7    35.2    49.8    62.0   205.0
1943   20.9   21.2   15.7   20.8   17.3   17.4   14.8   22.2   19.0   20.6   23.5   14.7    66.0    53.8    54.4    63.1   228.1
1944   25.2   16.2   17.4   14.6   15.3   17.3   11.9   15.6   19.9   22.2   23.8   23.4    56.0    47.4    44.9    65.9   222.9
1945   22.3   21.5   16.1   14.7   19.7   19.6   15.8   10.7   16.1   15.0    7.1   22.6    67.3    50.4    46.2    38.2   201.2
1946   17.4   20.8   13.3   15.7    8.3   21.1   22.4   23.3   22.6    4.9   20.7   17.3    60.8    37.4    66.7    48.2   207.7
1947   14.5    6.8   13.8   22.3   13.5   19.2   12.8    1.8   21.8   15.6   25.9   17.5    38.6    49.6    33.9    63.3   185.5
1948   21.0   16.7   14.0   15.7   15.4   18.1   16.7   18.3   22.5   21.7   16.2   19.4    55.2    45.1    53.1    60.5   215.8
1949   24.5   18.4   14.8   22.5   15.7   11.3   11.7   19.5   12.1   20.8   21.4   25.3    62.3    53.0    42.4    54.3   218.0
1950   17.3   17.8   17.7   22.7   10.6   15.7   22.0   20.9   26.7   18.0   21.8   19.5    60.4    51.0    58.6    66.6   230.8
1951   21.1   20.2   19.1   21.7    6.7   12.4   18.6   23.2   14.0   13.1   24.2   25.5    60.8    47.4    54.1    51.2   219.6
1952   22.6   18.2   16.7   13.3   14.9   19.3   17.5   20.7   20.0   19.2   20.2   24.3    66.3    44.9    57.5    59.4   226.9
1953   18.3   18.0    8.4   17.7   14.9   11.8   24.1   20.0   16.8   16.7   22.5   18.2    60.7    41.1    56.0    56.0   207.7
1954   18.4   18.6   15.1   12.3   14.3   16.0   18.7   17.8   23.6   26.0   23.8   25.6    55.2    41.6    52.5    73.4   230.1
1955   18.1   17.2   12.9   13.2   19.8   10.9    5.0    8.3   19.9   23.4   14.1   23.8    60.9    46.0    24.2    57.4   186.7
1956   22.7   16.0    9.2   15.0   17.9   16.7   16.5   21.8   15.4   19.3   17.5   22.7    62.5    42.1    54.9    52.2   210.7
1957   22.5   18.1   18.1   14.3   11.1   15.5   15.9   17.6   20.9   22.2   16.1   20.5    63.4    43.5    48.9    59.2   212.7
1958   23.7   20.1   13.2   16.1   19.2   10.9   14.7   21.9   12.3   20.0   11.9   19.8    64.3    48.5    47.5    44.2   203.7
1959   20.0   11.3   13.5   20.8   10.1   15.1   17.4   15.6    8.8   15.7   22.7   22.4    51.0    44.3    48.2    47.2   193.3
1960   18.3   18.9    7.7   14.1    7.7   14.0   17.2   23.0   14.4   17.8   19.0   19.2    59.6    29.5    54.2    51.2   191.3
1961   15.2   18.2   19.6   15.5    9.8   17.1   16.7   21.8   18.8   24.8   17.2   16.8    52.7    44.8    55.6    60.8   211.6
1962   25.0   18.0   15.0   12.5   16.2   14.5   10.8   23.2   18.9   15.5   17.4   20.3    59.8    43.7    48.5    51.8   207.2
1963   10.1    4.2   18.1   15.4   20.4   13.6   14.2   18.6   18.9   19.2   20.5   13.0    34.6    53.8    46.5    58.5   186.1
1964   13.1    9.5    6.8   19.8   16.8   14.9   16.4   18.6   19.7   15.5   17.5   22.9    35.7    43.4    49.9    52.8   191.6
1965   20.2   12.4   11.3   18.9   16.1   18.1   14.5   17.5   19.8   13.9   16.2   23.0    55.6    46.3    50.2    50.0   202.0
1966   10.7   13.6   24.1    9.0   17.8   18.2   17.3   13.1   17.0   21.2   20.4   27.5    47.3    50.8    48.7    58.6   209.8
1967   20.4   17.5   26.9   16.2   16.9   13.6   18.0   14.4   15.8   26.6   19.3   24.1    65.3    60.0    46.0    61.8   229.8
1968   22.7   14.6   22.7   12.2   14.0   14.5   14.3   11.3   12.0   20.8   10.6   14.7    61.4    49.0    40.0    43.5   184.5
1969   20.6   14.7    9.5   15.3   16.4   12.1   16.3   14.5   16.5   19.5   23.1   17.5    50.0    41.2    42.9    59.0   196.0
1970   14.7   19.9   23.0   21.6   15.8    8.4   20.4   13.4   20.2   21.7   24.3   18.9    52.2    60.4    42.2    66.1   222.3
1971   19.0   14.2   18.1   11.3   14.9   15.3   10.7   12.9   13.2   17.9   23.9   20.8    52.0    44.4    38.8    54.9   192.1
1972   16.2   12.1   12.5   18.0   12.6   19.2   11.5   13.7    9.0   10.8   23.7   16.8    49.2    43.1    44.4    43.4   176.0
1973   15.7   19.5   13.5   16.9   17.5   14.6   12.5   15.5   17.2   15.6   23.0   23.8    51.9    47.9    42.6    55.8   205.2
1974   23.5   18.1   10.0    2.3   14.2   13.0   21.1   17.5   23.5   23.3   22.5   28.8    65.3    26.5    51.6    69.4   217.7
1975   26.0    7.0   15.8   20.7    8.4   10.8   15.9   12.1   21.4   11.3   19.4   22.6    61.7    44.8    38.8    52.2   191.3
1976   23.7   12.8   16.3   13.0   17.9   14.9   12.1    4.6   14.1   19.5   16.6   17.0    59.1    47.2    31.7    50.3   182.7
1977   18.1   14.9   18.3   24.0   10.4   12.5   10.8   10.7   17.0   18.3   22.7   15.5    50.0    52.8    33.9    58.0   193.2
1978   20.5   13.5   23.1    9.5    8.8   12.9   12.9   16.0   23.2   20.2   23.1   15.6    49.5    41.3    41.8    66.5   199.2
1979   20.4    8.9   23.5   19.4   20.3   14.5   18.9   16.5   19.7   15.8   24.0   23.1    44.9    63.2    49.9    59.5   225.1
1980   15.9   14.0   15.2   10.1    6.5   18.5   18.1   18.1   23.1   22.8   20.5   26.7    53.0    31.7    54.6    66.3   209.3
1981   24.7   13.0   20.3    7.9   13.5   17.0   16.7   12.4   19.7   26.0   23.6   14.1    64.4    41.6    46.1    69.2   208.8
1982   16.5   13.8   20.5   12.9   13.6    5.7    9.9   22.6   23.7   20.8   23.2   22.9    44.4    47.0    38.2    67.7   206.1
1983   27.6   10.9   24.1   14.2   13.0   13.0    8.6    9.4   20.8   26.7   13.8   23.6    61.5    51.3    31.1    61.2   205.8
1984   23.1   15.5   13.9   12.2    6.8   11.6    9.8    8.6   22.8   24.9   20.7   20.7    62.2    32.8    30.0    68.4   190.4
1985   13.5    7.5   17.6   21.4   11.9   16.4   20.7   24.9   22.3   12.4   18.2   23.5    41.6    50.9    62.0    52.9   210.2
1986   21.7    4.9   21.4   15.7   21.7    8.1   16.9   16.5   18.0   21.9   24.8   25.7    50.1    58.8    41.5    64.8   217.4
1987   11.7   14.9   20.0    9.1   14.1   15.5   18.6   14.5   20.8   18.9   16.1   15.2    52.4    43.2    48.6    55.7   189.4
