Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for Scotland E
Areal series, starting in 1884
Last updated 01-Jan-2022 11:01
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1924   -0.4    0.1   -2.6    0.7    3.8    6.5    8.6    8.0    6.1    3.9    2.6    2.6   -0.54    0.60    7.74    4.22    3.34
1925    0.6   -0.4   -0.1    0.8    5.1    7.2    9.5    8.6    5.1    4.4   -1.4   -2.8    0.99    1.93    8.47    2.74    3.08
1926    0.2    0.7    1.1    2.6    3.0    6.8    9.6    8.9    6.6    1.4    0.5    0.5   -0.70    2.26    8.45    2.82    3.51
1927   -0.3   -0.5    1.3    1.0    2.9    4.8    9.5    8.9    5.7    4.0    1.2   -2.0   -0.10    1.70    7.76    3.61    3.05
1928   -0.2   -0.2    0.4    2.0    3.7    5.0    8.7    8.4    5.5    3.5    2.2   -0.9   -0.81    2.02    7.37    3.73    3.18
1929   -2.7   -3.2   -0.4    0.3    4.0    6.1    8.5    8.2    7.6    3.3    1.2    0.7   -2.21    1.32    7.59    3.99    2.83
1930   -0.4   -3.2   -1.2    2.4    3.5    7.0    9.0    9.2    7.6    4.5   -0.2    0.2   -0.89    1.57    8.45    3.97    3.26
1931   -1.5   -1.4   -2.5    1.4    4.4    6.6    9.4    7.3    5.5    3.4    3.1    1.5   -0.89    1.10    7.79    3.98    3.13
1932    1.3   -0.1    0.0    0.2    4.0    6.4    9.5    9.1    6.1    2.6    1.0    1.5    0.94    1.42    8.35    3.25    3.49
1933   -2.4   -0.8    0.7    3.2    4.9    7.8   10.8    9.8    7.4    4.8    1.2   -0.3   -0.57    2.93    9.45    4.46    3.94
1934    0.8    1.0   -1.0    1.5    4.1    6.9   10.1    8.5    7.1    4.0    1.0    3.2    0.47    1.52    8.50    4.03    3.95
1935    0.3   -0.1    1.4    1.5    2.5    7.5    8.7    9.4    6.4    3.5    1.0   -2.0    1.17    1.80    8.57    3.66    3.37
1936   -1.8   -2.3    1.0   -0.1    4.3    6.5    9.4    9.3    7.9    3.6    0.4    0.2   -2.02    1.77    8.42    4.00    3.24
1937    0.5   -0.9   -2.5    2.9    4.7    7.1    9.0    9.0    6.6    4.1    1.1   -2.2   -0.06    1.68    8.39    3.94    3.30
1938    0.5    0.1    4.0    2.1    3.5    6.9    8.4    8.4    7.2    4.8    3.2   -0.4   -0.54    3.21    7.93    5.04    4.08
