Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for Northern Ireland
Areal series, starting in 1884
Last updated 01-Jan-2022 11:00
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1926    4.8    6.0    5.8    8.4    8.8   12.1   14.8   14.3   12.6    7.4    5.3    4.3    4.69    7.68   13.77    8.42    8.74
1927    4.3    4.9    6.3    6.8    9.5    9.9   13.7   14.0   10.8    9.8    5.8    3.7    4.48    7.58   12.57    8.83    8.34
1928    4.6    5.3    5.0    6.7    9.9   10.9   13.8   12.9   11.1    9.3    6.6    4.5    4.51    7.18   12.53    8.99    8.38
1929    2.9    3.4    6.4    6.1    9.7   11.7   13.9   13.3   13.5    8.3    5.9    4.4    3.60    7.43   12.98    9.22    8.32
1930    3.7    2.0    4.5    7.2    9.9   12.7   13.5   13.3   11.9    8.9    5.3    4.3    3.39    7.19   13.16    8.73    8.14
1931    3.1    3.5    4.3    6.8    9.8   12.4   13.5   12.9   10.7    8.3    6.8    6.3    3.68    6.96   12.94    8.58    8.23
1932    6.3    4.0    4.9    5.7    9.4   13.2   14.1   14.0   10.8    7.8    6.2    5.4    5.53    6.65   13.76    8.28    8.49
1933    2.8    3.7    6.4    8.3    9.8   13.2   15.5   14.9   12.9    9.3    5.5    4.1    3.96    8.15   14.52    9.24    8.89
1934    5.0    4.8    4.3    5.9    9.7   13.2   15.7   13.0   12.0    8.6    5.8    7.3    4.63    6.64   14.01    8.82    8.82
1935    4.8    5.0    6.3    6.9    9.7   12.4   14.2   14.3   11.6    8.3    5.1    2.6    5.71    7.61   13.63    8.34    8.44
1936    2.4    3.0    6.1    5.6    9.8   12.6   13.5   14.7   12.6    9.1    4.7    4.8    2.65    7.17   13.60    8.82    8.26
1937    4.6    4.0    2.7    8.0   10.5   12.2   13.5   14.5   11.5    8.1    6.1    2.9    4.48    7.03   13.44    8.58    8.24
1938    4.8    4.8    8.6    7.1    9.2   12.0   13.1   13.7   12.6    9.2    7.6    3.8    4.15    8.29   12.95    9.80    8.90
1939    3.0    5.7    5.7    7.7   10.4   12.8   13.5   14.3   12.4    7.8    7.5    3.6    4.12    7.92   13.53    9.21    8.70
1940    1.4    3.8    5.3    7.8   10.9   14.4   12.9   14.2   11.3    8.7    5.9    4.0    2.91    7.99   13.83    8.60    8.38
1941    0.8    3.0    4.8    5.6    8.6   13.3   14.2   13.1   13.9   10.0    6.0    5.4    2.60    6.33   13.54    9.97    8.26
1942    3.7    2.6    5.1    7.9    9.6   12.7   13.6   14.1   11.6    8.7    5.3    6.2    3.95    7.55   13.44    8.54    8.46
1943    4.9    6.1    6.5    9.2    9.9   12.9   14.3   13.5   11.7    9.7    6.4    4.8    5.72    8.54   13.58    9.24    9.17
1944    6.2    4.0    5.1    9.3   10.2   12.1   14.5   14.8   11.2    8.3    5.6    4.4    5.04    8.19   13.82    8.39    8.83
1945    0.7    6.7    8.1    8.9   10.3   12.5   14.5   14.5   13.1   10.5    7.4    5.9    3.83    9.12   13.85   10.34    9.45
1946    3.6    5.3    5.5    8.3    9.4   11.7   13.7   12.5   12.4    9.2    7.0    3.3    4.95    7.73   12.66    9.56    8.52
1947    3.0   -0.5    2.5    7.3   11.0   13.0   13.9   16.5   12.7   10.7    6.7    4.9    1.99    6.90   14.52   10.05    8.53
1948    3.5    4.6    7.9    8.1    9.6   11.8   13.7   13.6   12.3    9.4    7.9    5.3    4.32    8.53   13.05    9.89    8.99
1949    5.7    5.7    5.7    8.7    9.6   13.8   14.8   14.6   13.8   10.5    6.3    5.1    5.56    8.03   14.40   10.24    9.55
1950    5.3    4.0    7.1    6.5   10.4   13.9   14.0   13.5   11.3    8.8    4.4    1.4    4.80    8.03   13.83    8.17    8.42
1951    3.3    2.5    3.8    5.9    8.6   12.3   14.2   13.3   12.6    9.9    7.1    5.1    2.40    6.08   13.27    9.87    8.24
1952    2.2    3.8    6.2    8.5   11.2   12.2   14.7   14.0   10.0    8.5    4.6    3.4    3.72    8.64   13.65    7.69    8.29
1953    4.3    5.3    5.2    6.2   11.6   12.8   13.7   14.0   13.3    9.4    7.5    6.8    4.29    7.66   13.50   10.06    9.20
1954    4.0    3.2    5.5    7.3   10.0   11.9   12.5   12.8   10.9   10.2    5.8    6.4    4.73    7.60   12.42    8.97    8.41
1955    2.5    1.2    3.4    8.8    8.9   12.0   15.5   16.1   13.2    8.6    7.5    5.3    3.44    7.00   14.56    9.75    8.62
1956    3.1    1.8    6.4    6.9   10.6   11.7   13.9   12.0   12.6    9.2    6.8    6.1    3.44    7.97   12.55    9.52    8.45
1957    4.6    4.2    8.2    7.6    9.6   13.3   13.8   13.7   11.3    9.4    6.0    4.9    4.99    8.48   13.60    8.88    8.91
1958    3.6    4.3    3.3    7.1    9.0   12.1   14.3   13.8   13.7   10.0    7.3    4.2    4.28    6.48   13.43   10.32    8.58
1959    1.5    5.2    6.8    7.8   11.5   13.3   14.7   15.0   13.2   11.3    6.1    4.8    3.57    8.70   14.33   10.24    9.30
1960    3.9    2.9    5.9    8.4   11.8   14.2   13.5   13.2   11.8    9.3    6.2    2.9    3.87    8.69   13.65    9.11    8.68
1961    3.5    6.6    8.2    8.1    9.8   12.5   12.7   13.1   12.5    9.2    5.7    2.3    4.26    8.71   12.77    9.11    8.69
1962    3.7    4.7    2.7    6.9    9.2   11.8   13.0   12.7   11.0    9.9    5.7    4.0    3.55    6.23   12.50    8.92    7.96
1963   -0.2    0.7    5.8    7.3    8.9   13.0   13.2   12.9   11.5   10.0    6.4    3.4    1.52    7.37   13.03    9.35    7.79
1964    4.8    4.3    4.6    7.9   11.3   12.1   13.8   13.5   12.4    8.5    6.8    3.7    4.15    7.92   13.14    9.23    8.65
1965    2.6    3.3    4.6    7.2   10.2   12.7   12.2   13.0   10.8   10.1    3.9    3.9    3.21    7.34   12.62    8.30    7.91
1966    3.4    4.5    6.6    5.8    9.9   13.6   13.4   12.9   12.8    8.5    4.7    4.7    3.92    7.43   13.25    8.64    8.40
1967    4.7    4.8    5.7    7.4    8.3   12.3   13.9   13.4   12.1    8.7    5.5    4.7    4.74    7.15   13.21    8.74    8.47
1968    4.8    1.7    5.5    6.9    8.1   12.9   13.0   13.9   12.2   11.4    6.2    3.8    3.76    6.86   13.27    9.95    8.40
1969    4.2    0.9    3.0    6.5    9.4   12.2   14.5   14.3   12.2   11.9    3.9    3.9    3.03    6.32   13.70    9.36    8.13
1970    3.5    2.3    4.0    6.0   11.2   14.5   12.8   14.2   12.3    9.6    6.3    4.5    3.26    7.07   13.82    9.40    8.47
1971    4.6    4.9    5.1    7.0    9.9   11.1   14.4   13.6   13.1   10.9    6.4    6.4    4.68    7.35   13.06   10.14    8.99
1972    3.2    4.0    5.1    7.5    8.9   10.1   13.8   12.7   10.8    9.9    5.3    5.4    4.55    7.16   12.21    8.71    8.08
1973    5.1    3.9    5.6    6.4    9.5   12.9   14.0   14.3   12.5    8.6    5.7    4.8    4.81    7.19   13.76    8.93    8.64
1974    5.5    4.8    5.0    7.6    9.5   11.8   13.0   13.3   10.2    7.4    5.1    6.7    5.01    7.37   12.72    7.55    8.34
1975    5.4    4.7    4.4    7.5    8.9   12.9   15.0   15.6   11.3    9.9    6.1    5.4    5.64    6.97   14.52    9.12    8.97
1976    5.3    4.6    4.9    7.6    9.7   14.3   15.4   15.2   11.9    8.5    5.3    1.8    5.11    7.41   14.95    8.60    8.72
1977    2.4    3.5    6.1    6.4    9.2   11.4   14.8   13.6   11.4   10.8    4.5    5.6    2.49    7.25   13.33    8.91    8.35
1978    3.1    2.8    5.5    6.0   10.5   11.9   13.1   13.6   12.7   11.2    7.5    3.8    3.84    7.36   12.87   10.49    8.51
1979    0.5    2.0    3.5    6.1    7.7   12.2   14.0   12.8   11.7   10.2    6.3    4.3    2.09    5.77   13.04    9.39    7.63
1980    2.4    4.7    4.1    7.9   10.5   12.0   13.0   14.1   13.0    8.2    6.4    5.3    3.76    7.50   13.04    9.19    8.47
1981    5.1    3.8    6.6    7.5   10.0   11.9   13.4   14.4   12.6    6.5    6.8    1.6    4.74    8.02   13.25    8.62    8.36
1982    3.5    4.7    5.4    8.0    9.8   13.2   14.5   13.6   11.9    9.0    5.8    3.8    3.22    7.72   13.77    8.88    8.62
1983    5.3    2.6    6.2    5.3    8.9   12.4   16.4   15.8   12.0    9.4    7.2    6.2    3.97    6.85   14.88    9.51    9.03
1984    2.4    4.3    4.4    7.7    9.0   13.1   14.7   15.2   11.9    9.2    5.7    5.0    4.29    7.02   14.38    8.91    8.55
1985    0.8    3.4    4.4    7.7    9.2   11.2   13.9   12.5   12.9   10.0    3.7    5.3    3.04    7.08   12.54    8.89    7.94
1986    3.0    0.6    4.7    4.8    9.3   13.0   13.6   11.4   10.6    9.5    6.5    4.9    3.06    6.32   12.69    8.86    7.72
1987    2.6    3.6    4.2    8.6    9.4   10.8   14.4   13.9   11.5    7.7    6.4    5.5    3.69    7.38   13.08    8.51    8.24
1988    3.9    4.1    5.8    7.9   10.2   13.5   13.1   13.3   11.8    9.3    5.6    7.2    4.52    7.95   13.30    8.89    8.82
1989    6.4    5.0    5.7    5.6   10.8   12.7   16.3   14.1   12.0   10.4    6.1    3.7    6.25    7.39   14.37    9.53    9.10
1990    5.4    5.1    7.6    7.2   11.3   12.0   14.7   15.1   11.2   10.2    6.0    3.9    4.71    8.68   13.95    9.16    9.17
1991    2.9    2.5    6.7    7.2   10.4   10.9   15.6   15.0   12.9    8.9    5.9    5.6    3.13    8.09   13.87    9.21    8.74
1992    4.6    5.2    6.6    7.3   11.3   14.1   14.1   13.0   10.9    6.9    6.3    3.8    5.10    8.43   13.74    8.01    8.68
1993    5.0    6.1    5.9    8.3    9.6   13.0   13.2   12.7   11.3    7.0    5.1    4.1    4.93    7.92   13.00    7.79    8.45
1994    4.2    2.9    6.0    6.8    9.3   11.8   14.5   13.5   11.4    9.5    8.8    5.5    3.77    7.37   13.28    9.90    8.72
1995    3.9    5.1    4.5    8.0    9.9   13.2   15.9   17.0   12.4   11.5    7.6    2.9    4.84    7.48   15.40   10.50    9.35
1996    5.4    2.9    4.6    7.8    8.0   12.5   14.2   14.1   12.8   10.4    5.0    3.5    3.76    6.79   13.59    9.39    8.45
