year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1938, 18.7,,7.9,,5.6,,1.8, 12.7, 12.6, 15.8, 13.5, 13.5, 18.2, 16.8, 18.8,,43.0
1939, 19.8, 12.0, 13.4, 10.9,,6.3, 11.7, 19.0, 10.4,,6.3, 13.7, 17.7,,8.4,,50.6
1940, 10.3, 12.0, 13.0, 11.8,,7.7,,4.5, 17.5,,7.6, 10.3, 14.1, 17.2, 14.0,,30.8
1941, 13.2, 17.0, 11.1,,8.3,,9.7,,3.5, 10.4, 17.6,,4.3, 13.8, 14.5,,7.9
1942, 15.2,,8.0,,9.7,,8.4, 12.6,,4.5, 14.2, 13.7, 13.6, 13.9,,7.4, 16.1
1943, 19.6,,9.4,,5.0, 10.2, 11.7, 12.5,,9.5, 18.0, 13.6, 12.6, 13.4,,9.2,
1944, 14.6, 11.7,,5.1,,9.7,,9.2, 13.8, 12.6,,9.9, 15.4, 16.7, 21.5, 13.6,
1945, 14.8, 14.0,,6.7, 10.3, 14.1, 16.0,,9.7, 10.4, 11.0, 11.2,,5.8, 12.3,,42.4
1946, 14.2, 11.7,,7.9,,7.4,,8.9, 15.9, 13.9, 17.5, 15.9,,6.4, 21.4, 17.1,
1947, 14.2, 11.1, 21.3, 12.3, 11.5, 11.9, 12.6,,2.1, 11.2,,6.4, 13.6, 12.9,,42.4,
1948, 22.7, 11.5,,5.9, 10.0,,9.1, 18.3,,9.4, 14.7, 11.8, 11.7, 11.1, 13.5,,47.1
1949, 10.7,,9.5,,8.9, 11.4, 10.8,,5.6,,8.0,,8.1,,6.6, 13.2, 17.6
1950,,8.4, 15.8,,9.1, 16.1, 10.2, 10.1, 12.0, 18.4, 18.9, 10.6, 18.6, 14.3,,42.1,
1951, 14.7, 15.8, 15.0, 11.4, 12.5,,7.6, 11.1, 17.9, 10.4,,4.8, 20.3, 16.4,,44.8,
1952, 14.8,,6.3, 10.6,,8.8,,8.8, 10.5,,9.9, 11.7, 15.0, 14.0, 12.2, 16.7,
1953,,8.4,,9.2,,4.3, 12.8,,9.5, 11.6, 17.2, 14.2, 10.8,,8.3, 12.3, 11.1
1954, 11.3, 14.0, 11.0,,4.3, 12.2, 12.3, 14.8, 19.8, 18.3, 18.7, 18.9, 15.6,,36.4,,27.5
1955, 10.3, 13.2,,9.0,,8.6, 14.7, 10.8,,3.3,,5.7, 11.1, 10.1,,8.9, 16.8
1956, 18.1, 11.6,,8.0,,8.1,,6.6, 13.8, 14.6, 20.5, 10.9,,9.7,,8.2, 17.0
1957, 15.7, 13.6, 13.1,,4.1,,9.8,,9.3, 16.8, 16.7, 16.4, 12.5,,8.9, 12.4,
1958, 14.0, 16.2, 10.5,,7.3, 16.5, 17.4, 15.6, 16.3, 14.0, 13.1,,6.6, 16.1,,42.5,
1959, 11.4,,3.6, 10.1, 13.1,,4.7, 10.8,,9.8,,3.2,,2.4, 11.2, 17.3, 21.1
1960, 16.9, 13.2, 10.0,,9.7,,5.3,,6.9, 17.8, 16.9, 13.2, 20.2, 20.3, 15.2,,51.1
1961, 17.4, 11.8,,5.1, 15.2,,7.7,,7.6, 10.7, 15.2, 12.2, 18.6, 11.4, 13.0,,44.4
1962, 16.3, 10.2,,8.9, 11.4, 13.0,,6.1,,7.6, 14.8, 14.4,,6.1, 11.3, 12.7,
1963,,8.4,,7.0, 14.2, 14.1, 12.3, 15.0, 11.9, 17.7, 10.9, 12.5, 20.3,,7.1,,28.0
1964,,6.9,,6.3, 12.0, 13.3, 10.2, 13.0,,9.5, 10.9,,9.6,,8.5, 10.9, 13.9
1965, 15.7,,6.3, 10.6, 14.1, 12.5, 11.4, 13.6, 12.6, 16.8,,6.6, 15.9, 19.1,,35.8,
1966, 10.8, 16.2,,9.5, 14.7, 11.7, 13.5, 13.2, 13.7,,9.1, 15.7, 15.7, 17.4,,46.1,
1967, 11.9, 12.0, 11.5,,8.5, 22.4,,6.9, 10.7, 13.7, 14.4, 18.6, 12.9, 12.4,,41.4,
1968, 13.1,,7.6, 11.7, 10.3, 13.2, 11.2, 10.9,,9.4, 16.3, 13.3, 12.2, 10.6,,33.1,
1969, 13.2, 13.8, 10.4, 12.6, 18.1, 10.4,,7.8, 11.7,,8.5,,7.2, 17.6, 13.9,,37.7
