year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
2004,,2.1,,2.2,,2.6,,5.1,,7.0, 10.5, 11.1, 13.0, 10.4,,7.1,
2005,,2.8,,1.3,,3.4,,4.4,,6.5, 10.3, 12.1, 10.9, 10.5,,9.7,
2006,,1.6,,0.9,,1.3,,4.2,,7.5, 10.3, 13.4, 11.9, 12.3,,9.4,
2007,,3.8,,2.7,,2.9,,5.7,,7.5, 10.6, 11.2, 10.8,,9.4,,6.9
2008,,3.3,,1.0,,2.4,,3.5,,8.2,,9.5, 11.7, 12.5,,9.4,
2009, -0.0,,1.2,,2.5,,4.9,,7.2,,9.6, 11.7, 12.1,,9.9,,7.6
2010, -1.3, -0.2,,1.9,,3.6,,5.7,,9.7, 12.6, 11.0,,9.6,,6.6,
2011,,1.0,,3.4,,2.2,,6.2,,7.4,,9.1, 10.3, 11.1, 10.7,,8.5
2012,,2.2,,0.7,,3.3,,3.1,,7.0,,9.7, 11.2, 12.2,,8.5,
2013,,1.0,,0.2, -0.3,,2.9,,5.6,,9.1, 12.4, 12.1,,9.4,,9.1
2014,,2.5,,3.1,,3.1,,5.7,,7.9, 10.3, 12.3, 10.6, 10.3,,8.9,
2015,,1.2,,0.7,,2.4,,3.7,,6.6,,8.8, 11.1, 11.5,,8.0,
2016,,2.3,,1.4,,1.8,,3.0,,7.4, 10.7, 12.2, 12.2, 11.8,,7.0,
2017,,0.8,,3.3,,4.7,,4.0,,8.2, 11.5, 12.1, 11.2,,9.5,,8.9
2018,,2.3, -0.4,,1.4,,5.9,,7.5, 10.5, 12.8, 12.1,,9.1,,6.5,
2019,,1.0,,2.1,,4.1,,3.8,,6.1,,9.9, 12.6, 12.4,,9.7,
2020,,3.5,,3.0,,2.5,,4.8,,6.6, 10.4, 11.3, 13.1,,9.3,,7.2
2021,,0.2,,1.7,,3.3,,0.9,,5.5, 10.7, 12.9, 11.8, 11.4,,8.5,
