year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1940,,9.1, 12.6, 12.0, 12.3,,7.9,,4.5, 15.7,,4.1,,9.1, 14.1, 17.9, 12.9
1941, 13.6, 15.8, 11.7,,8.0,,9.7,,5.1, 10.8, 18.6,,3.6, 11.7, 14.2,,9.1
1942, 14.2,,5.5, 10.5,,7.7, 13.4,,3.5, 12.1, 14.2, 12.3, 13.8,,6.9, 17.1,
1943, 19.8,,8.6,,4.9,,8.5, 10.3, 11.3,,9.2, 14.9, 12.8, 12.1, 14.3,,8.4
1944, 13.1,,8.9,,3.7,,9.1,,6.9, 12.0, 12.2,,9.6, 13.2, 16.4, 20.2, 12.0
1945, 13.0, 12.7,,6.6,,8.5, 13.9, 15.1,,8.8, 10.6, 11.7,,9.7,,5.1, 15.0
1946, 12.3, 12.6,,6.9,,8.0, 10.3, 16.7, 11.0, 17.7, 16.1,,6.8, 19.5, 16.4,,39.9
1947, 14.0,,9.1, 21.7, 11.7, 11.5, 11.3, 12.0,,2.2,,9.7,,4.7, 12.9, 12.6,
1948, 22.8, 10.2,,5.5, 10.5,,9.5, 16.1,,8.7, 14.0,,9.8, 11.3, 10.2, 13.6,
1949,,9.5,,7.9,,7.4, 10.0, 10.8,,4.4,,6.6,,7.8,,6.5, 14.8
1950,,7.1, 16.2,,8.7, 15.8,,9.4,,8.7, 13.3, 17.1, 19.0,,9.4, 18.7, 13.5
1951, 15.5, 17.2, 17.3, 12.9, 13.0,,7.4,,8.2, 17.7, 11.3,,5.9, 20.9, 14.7,,46.3
1952, 15.3,,6.5, 12.0, 10.7, 11.0,,9.6,,6.5, 12.8, 14.0, 14.1, 13.1, 16.5,,36.5
1953,,6.4,,8.8,,4.7, 12.7,,8.9, 11.4, 16.3, 11.5, 11.4,,9.4, 10.3,
1954, 10.0, 14.6, 12.4,,3.9, 11.6, 11.8, 14.3, 17.1, 17.4, 16.5, 18.0, 12.8,,33.4,,27.9
1955, 12.4, 12.7,,7.5,,7.8, 15.6, 10.6,,3.2,,5.4,,9.8,,9.6,
1956, 17.1,,7.2,,6.7,,7.3,,5.4, 12.3, 13.1, 19.7, 11.4, 10.1,,7.9, 15.6
1957, 14.1, 15.5, 13.0,,2.9,,9.3,,8.3, 16.4, 14.1, 15.7, 10.8,,7.4, 12.7,
1958, 13.7, 14.9,,9.5,,5.9, 13.9, 15.7, 14.0, 16.3, 13.8, 12.7,,8.2, 15.7,,41.3
1959, 12.9,,2.4, 12.9, 13.4,,5.8,,9.5,,9.2,,5.3,,1.5, 11.8, 15.9
1960, 15.9, 13.4, 10.0,,8.2,,5.7,,8.2, 17.9, 16.4, 13.2, 20.4, 21.6, 15.6,,51.3
1961, 16.5, 12.6,,3.4, 15.7,,6.4,,6.2,,9.2, 13.0, 12.4, 17.2, 11.0, 13.1,
1962, 16.2,,7.4,,8.4, 11.5, 12.9,,4.8,,8.9, 13.0, 13.5,,6.1, 11.9, 11.8
1963,,6.3,,6.5, 15.0, 15.0, 11.8, 13.5, 10.3, 16.6, 10.1, 11.4, 20.4,,6.0,,24.6
1964,,6.2,,7.2, 11.1, 12.5, 10.4, 11.5,,8.1,,8.8,,7.1,,9.7, 10.2
1965, 15.4,,4.4, 11.9, 13.3, 12.4, 10.9, 14.5, 11.7, 15.0,,5.5, 15.4, 19.5,,33.6,
1966, 10.8, 16.1,,8.4, 15.9, 11.9, 12.9, 12.3, 11.8,,7.5, 16.6, 13.9, 18.0,,46.5,
1967, 12.1, 10.9,,9.6,,8.6, 21.0,,5.3,,9.1, 12.2, 15.1, 19.4, 11.6, 13.6,
1968, 12.8,,7.4, 10.3, 11.1, 12.6, 12.3,,9.5, 10.9, 16.1, 12.5, 11.1, 10.3,,33.8,
1969, 15.1, 12.7, 10.0, 10.2, 18.5,,8.7,,6.0, 11.3,,6.6,,4.7, 15.9, 14.2,
1970, 18.4, 15.2, 13.8, 15.5,,5.4,,7.5, 12.4,,9.3, 10.2, 10.4, 19.2, 11.1,,47.8
1971, 15.7,,6.9, 10.8,,5.4,,9.3, 11.7,,6.5, 13.8,,5.1,,8.5, 12.0
1972, 16.4, 13.3, 13.0, 12.0, 14.9, 14.7,,8.5,,6.2,,4.5,,5.3, 13.8, 13.4,
1973,,8.5,,8.8,,5.9, 10.7, 13.9,,5.8, 10.6,,7.8, 10.4,,9.3,
1974, 17.4, 14.0,,9.5,,2.9,,8.6, 10.1, 11.6, 12.6, 18.7, 15.1, 17.3, 13.9,,43.9
1975, 18.6,,6.7, 13.7, 14.5,,6.8,,4.2, 10.5,,7.8, 13.1,,6.2, 12.5,
1976, 10.1,,8.4,,8.0,,4.2, 12.6,,3.6,,5.4,,2.8, 14.5, 21.4, 13.0
1977, 15.3, 18.9, 15.0, 12.0,,9.4, 11.2,,5.3, 11.7,,7.5, 11.6, 15.5, 13.4,,47.5
1978, 16.1, 13.8, 15.2, 10.1,,7.1, 10.6, 11.6, 12.0,,9.0,,4.7,,9.2, 19.6,
1979, 13.6,,9.5, 18.4, 13.7, 16.2,,7.8,,5.3, 12.8,,7.2, 12.2, 14.5, 17.3,
1980, 11.0, 13.8, 16.0,,3.5,,5.2, 16.5, 11.1, 11.1, 10.7, 15.8, 13.3, 13.8,,42.1,
1981, 12.6,,7.9, 19.9,,7.7, 17.0,,8.0,,9.2,,4.9, 14.5, 17.7, 11.8, 12.9
1982, 12.7,,9.1, 14.6,,4.6,,8.1, 15.8,,5.1, 13.9, 11.0, 15.9, 17.4, 13.0,
1983, 14.7,,8.4, 14.5, 16.9, 19.0,,6.5,,5.3,,4.8, 13.5, 12.7,,6.0, 14.7
1984, 20.0, 10.0,,9.7,,3.2,,8.3,,7.2,,5.6,,7.9, 14.9, 14.2, 17.1
1985, 13.0,,4.3, 13.5, 12.1,,9.9, 14.7, 11.9, 17.8,,7.0,,5.8, 12.6, 16.2,
1986, 18.4,,3.9, 14.7, 14.8, 14.8,,6.5,,9.5, 13.2,,2.8, 13.1, 15.8, 18.3,
1987,,6.0,,9.2, 13.3,,9.8, 10.5, 17.0, 10.5,,9.7, 11.0, 17.2, 11.2,,9.1
1988, 20.6, 10.8, 17.0,,8.0, 11.2,,6.5, 18.7, 11.9,,9.3, 12.6,,6.7,,7.8
1989,,8.9, 12.9, 14.4, 14.2,,4.0,,8.5,,5.3,,8.7,,6.3, 13.8,
1990, 18.7, 16.9,,5.8,,9.3,,4.5, 13.6,,5.9,,7.5,,8.7, 13.7, 11.4
1991, 12.6,,9.6, 12.1, 10.0,,3.6, 17.8,,9.9,,5.5,,8.7, 10.4, 13.2,
1992,,5.8,,9.3, 16.1, 13.0,,7.5,,6.0, 11.3, 15.9, 14.1, 11.8, 18.3,,9.9
1993, 17.7,,3.4,,5.1, 13.5, 11.3,,9.7, 13.7,,8.5, 13.3, 11.2,,8.7, 21.0
1994, 18.0, 12.4, 15.8, 13.3, 10.4,,7.1,,7.6, 10.5, 14.4, 12.6, 11.9, 16.4,,51.3,
1995, 18.2, 17.6, 13.8,,5.3,,8.4,,5.6,,6.8,,3.0, 15.1,,7.5, 11.7
1996,,9.7, 12.9,,8.0,,8.3,,9.4,,5.9,,8.4, 10.9,,5.6, 14.9
1997,,4.2, 15.5,,6.8,,4.5, 12.2, 16.2,,9.9, 12.0,,6.4,,8.4, 17.2
1998, 14.1,,5.1, 11.7, 20.0,,6.1, 17.7, 11.3,,7.7, 12.8, 18.2, 13.7, 16.4,,34.1
1999, 18.3, 10.7, 12.5, 13.1, 10.2, 12.2,,4.6, 13.2, 15.0, 10.7, 10.6, 20.3,,45.4,,35.8
2000,,8.6, 16.6,,7.1, 18.2, 12.7,,8.6, 10.3, 11.6, 14.6, 19.4, 20.1, 16.8,,45.5
2001, 11.4, 13.1, 14.8, 16.5,,6.6,,6.8,,9.9, 13.6, 13.4, 16.8, 11.4,,9.0,
2002, 14.5, 17.6,,9.5,,8.7, 14.7, 10.5, 12.1,,9.2,,4.0, 15.1, 20.1, 16.5,
2003, 13.8,,7.0,,6.0,,7.8, 14.1, 10.1, 11.1,,3.1,,6.2,,9.4, 14.1
2004, 18.3,,9.3, 11.4, 13.3,,7.9,,9.5, 11.7, 16.9, 10.4, 18.0, 10.3,,9.5,
2005, 11.6,,9.9,,9.5, 13.0,,9.9,,9.3,,8.9,,9.6, 10.7, 14.3, 11.7
2006,,6.8,,9.6, 14.7,,9.7, 15.6,,4.9,,7.0, 14.2, 10.7, 15.8, 15.0, 14.7
2007, 16.4, 16.2,,9.5,,2.0, 14.6, 15.6, 17.5,,8.6,,8.0,,6.3, 11.0, 12.1
2008, 18.1,,7.0, 16.1, 14.5,,8.2,,9.3, 12.8, 17.4, 11.9, 13.1, 14.0,,9.0,
2009, 13.3,,8.2,,8.5,,8.9, 11.1,,8.0, 18.7, 11.3,,4.4, 11.6, 22.3, 17.7
2010, 12.9, 14.8, 10.6,,6.0,,7.0,,6.2, 10.5, 13.5, 12.0, 11.8, 15.1,,8.2,
2011, 11.7, 14.0,,4.2,,3.0,,9.8, 12.6, 10.2, 12.6, 11.0, 12.1,,9.6, 18.1,
2012, 12.3,,5.8,,5.0, 19.1,,9.2, 17.3, 16.7, 15.0, 10.6, 16.2, 14.5, 19.3,,36.2
2013, 14.1,,7.3, 10.3,,7.6, 12.1,,8.6,,7.0,,8.9,,9.7, 18.8, 12.4
2014, 23.6, 18.9,,9.9,,9.9, 15.1,,8.5,,8.5, 15.3,,3.5, 16.5, 16.2, 12.1
2015, 16.3,,9.6,,9.9,,6.8, 13.3,,6.5, 13.3, 13.0,,8.6,,9.2, 19.7
2016, 19.0, 11.7, 10.8, 14.5,,9.3, 14.8,,9.0,,9.7, 11.1,,7.4, 12.1,,8.3
2017, 11.3, 12.6, 12.8,,4.7,,9.6, 10.1, 13.5, 11.8, 17.4,,9.4, 12.5, 15.9,,32.1
2018, 17.4, 10.9, 17.8, 12.7,,7.3,,3.1,,5.8, 10.7,,9.0,,8.9, 12.6, 15.8
2019,,8.7,,8.8, 13.9,,7.2,,8.7, 13.4,,8.8, 12.5, 13.7, 17.8, 18.7, 16.3
2020, 12.2, 20.2,,9.9,,5.4,,2.4, 14.4, 11.7, 13.6,,7.7, 20.1, 12.7, 19.9,
2021, 17.5, 12.7,,9.2,,3.2, 17.4,,7.0, 12.3,,9.2,,8.6, 13.8,,8.4
