year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1946, -0.1,,2.9,,0.8,,4.2,,5.3,,8.1, 11.0,,9.9,,9.8,
1947, -0.9, -4.1, -0.0,,3.9,,7.4, 10.1, 11.9, 12.0,,9.8,,6.0,,3.6,
1948,,2.2,,1.4,,3.0,,3.6,,5.3,,8.9, 10.7, 10.5,,9.5,
1949,,2.0,,1.4,,1.0,,5.1,,5.4,,8.8, 11.4, 11.3, 11.4,,7.7
1950,,1.4,,1.8,,3.0,,3.1,,6.3, 10.4, 11.1, 10.8,,9.0,,6.0
1951,,0.9,,0.4,,0.6,,2.1,,5.3,,8.2, 11.0, 10.3,,9.9,
1952, -0.3, -0.3,,2.9,,4.2,,7.7,,9.0, 11.6, 11.3,,6.7,,5.3,
1953,,0.5,,0.9,,0.4,,2.6,,7.3,,9.3, 10.9, 11.0,,9.3,
1954,,0.0, -0.8,,2.0,,2.3,,6.4,,9.1, 10.0, 10.2,,8.3,,8.3
1955, -0.2, -1.9, -1.1,,4.2,,4.9,,8.9, 11.3, 12.2,,9.3,,4.8,,3.7
1956,,0.5, -3.9,,1.8,,1.6,,5.9,,8.3, 11.3,,9.2, 10.2,,5.5
1957,,2.1,,1.6,,5.1,,3.9,,5.2,,8.6, 12.0, 11.0,,8.7,
1958,,0.1,,1.3, -0.1,,2.6,,6.3,,8.8, 11.1, 11.3, 10.7,,7.2,
1959, -1.6,,1.1,,3.3,,4.8,,6.6,,9.4, 11.3, 11.7,,8.9,,7.7
1960,,1.0,,0.5,,2.9,,4.0,,7.4, 10.0, 10.5, 10.2,,8.8,,6.8
1961,,0.5,,3.6,,3.1,,5.6,,5.8,,8.8, 10.2, 10.6, 10.3,,6.7
1962,,0.9,,1.0, -1.7,,3.1,,5.5,,7.8, 10.1, 10.0,,8.4,,6.1
1963, -5.0, -4.0,,1.9,,4.1,,5.6,,9.7,,9.9,,9.9,,8.4,
1964,,0.2,,1.2,,1.2,,4.4,,7.8,,9.2, 11.0, 10.3,,8.7,
1965,,0.4,,0.2,,0.7,,3.3,,6.7,,9.1,,9.6,,9.9,
1966,,0.2,,2.8,,2.4,,3.6,,5.8, 10.2, 10.2,,9.9,,9.3,
1967,,1.4,,1.9,,3.3,,3.5,,5.8,,8.5, 11.4, 10.8,,9.5,
1968,,1.2, -1.2,,2.2,,2.9,,5.0,,9.5, 10.3, 11.1,,9.8,,9.3
1969,,2.5, -2.1,,0.2,,2.5,,6.6,,8.2, 11.3, 11.6,,9.6,,8.7
1970,,0.8, -0.5, -0.2,,2.5,,7.3, 10.1, 10.6, 10.9,,9.9,,6.6,,4.3
1971,,1.6,,1.0,,1.4,,3.3,,5.9,,8.0, 11.2, 11.3,,8.9,
1972,,1.1,,1.4,,2.0,,4.3,,6.0,,7.2, 10.5, 10.0,,7.0,
1973,,1.7,,0.8,,1.4,,2.5,,6.6,,9.3, 10.7, 11.3,,9.6,
1974,,2.6,,2.1,,1.7,,3.0,,5.7,,8.6, 10.5, 10.0,,7.8,
1975,,3.4,,1.1,,1.4,,3.9,,5.0,,8.2, 11.9, 12.5,,8.5,
1976,,2.7,,1.4,,0.9,,3.2,,6.8, 10.6, 11.8, 10.8,,9.0,,7.1
1977, -0.2,,1.9,,3.2,,2.8,,5.3,,7.6, 10.8, 10.5,,9.0,,7.9
1978,,0.2, -0.6,,2.6,,2.4,,6.1,,8.7, 10.2, 10.5,,9.5,,7.8
1979, -3.5, -1.5,,1.1,,3.4,,5.0,,9.0, 10.9, 10.1,,8.5,,7.2,
1980, -0.8,,2.4,,1.2,,3.6,,5.3,,9.2,,9.9, 11.2, 10.4,,4.9
1981,,1.4, -0.4,,4.5,,3.4,,6.7,,8.9, 10.9, 11.0,,9.7,,4.4
