year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1948,,0.4,,0.9,,2.9,,3.5,,4.0,,7.8,,9.6,,9.5,
1949,,1.7,,2.0,,0.7,,4.2,,4.7,,7.9, 10.1, 10.4,,9.5,
1950,,1.7, -0.1,,2.6,,1.8,,5.0,,8.8,,9.8,,9.6,,7.8
1951,,0.1, -0.7, -0.6,,0.8,,3.7,,6.9,,9.9,,9.2,,8.5,
1952, -2.2, -0.4,,2.1,,3.6,,6.4,,7.4,,9.8,,9.8,,5.6,
1953,,1.2,,1.0,,0.7,,1.1,,6.3,,8.5,,9.6,,9.9,
1954,,0.3, -1.2,,0.8,,2.1,,5.7,,7.9,,8.5,,9.0,,6.5
1955, -0.9, -3.0, -1.5,,3.5,,3.6,,7.4,,9.8, 10.6,,8.8,,3.8,
1956, -0.4, -2.3,,1.6,,1.0,,5.7,,6.9,,9.8,,7.2,,8.7,
1957,,1.0, -0.2,,4.4,,2.9,,4.1,,7.0,,9.9,,9.8,,6.8
1958, -0.9, -0.6, -0.8,,2.1,,4.0,,7.6,,9.7, 10.0,,9.5,,6.6,
1959, -2.8,,0.9,,2.8,,3.4,,6.2,,8.5, 10.0, 10.6,,7.7,,7.5
1960, -0.3, -1.4,,2.0,,3.9,,6.2,,9.2,,9.4,,9.3,,7.1,
1961, -0.4,,2.7,,4.1,,4.2,,5.1,,7.8,,8.8,,9.0,,8.9
1962,,0.4,,0.9, -2.0,,1.7,,4.4,,7.0,,8.4,,8.8,,7.4
1963, -3.5, -4.3,,1.1,,3.1,,4.5,,8.7,,8.7,,8.8,,7.4,
1964,,1.4,,0.9,,0.9,,3.7,,7.0,,7.8,,9.7,,9.0,
1965, -0.8, -0.8,,0.0,,2.2,,5.7,,8.3,,7.7,,8.5,,7.4,
1966, -0.2,,0.6,,2.4,,1.7,,4.6,,9.4,,8.8,,8.3,,9.0
1967,,1.3,,1.7,,2.2,,2.6,,4.4,,7.5,,9.5,,9.5,
1968,,0.8, -2.3,,1.2,,2.3,,3.8,,7.9,,8.8,,8.8,,8.2
1969,,1.4, -2.6, -1.2,,1.4,,5.0,,7.4, 10.0, 10.5,,8.3,,8.5,
1970,,0.0, -2.3, -0.5,,1.2,,6.7,,9.4,,8.8, 10.0,,8.6,,6.0
1971,,1.3,,1.7,,1.0,,2.3,,5.3,,6.6,,9.5,,9.7,
1972,,0.9,,0.6,,1.4,,3.1,,5.4,,6.0,,9.1,,8.6,
1973,,1.6,,0.1,,1.2,,1.5,,5.1,,7.8,,9.6,,9.8,
1974,,2.2,,1.7,,0.9,,1.6,,5.3,,7.2,,9.0,,9.1,
1975,,1.9,,0.9, -0.0,,3.2,,3.0,,7.3, 10.3, 11.3,,7.1,,6.0
1976,,2.1,,1.6,,0.8,,3.2,,5.7,,9.2, 11.1,,9.1,,8.3
1977, -1.3,,0.1,,2.2,,2.2,,3.9,,6.5,,9.8,,9.0,,7.4
1978, -0.9, -1.9,,2.0,,1.8,,5.5,,7.7,,8.7,,9.9,,9.1,
