year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1940, 11.3, 12.3, 11.4, 10.2,,7.3,,4.0, 16.7,,6.1,,8.4, 14.9, 15.7, 12.4,
1941, 15.5, 16.5, 10.4,,7.0,,9.2,,3.3,,9.6, 16.2,,3.7, 14.3, 14.3,
1942, 15.2,,8.4,,8.5,,7.9, 11.3,,4.7, 13.7, 12.1, 11.9, 11.8,,6.9, 13.9
1943, 18.2,,6.4,,3.5,,8.3, 12.0, 11.5,,8.8, 15.6, 11.3, 10.4, 13.1,,7.9
1944, 11.0, 12.1,,4.6,,8.8,,7.9, 13.1, 11.2,,9.1, 14.1, 16.2, 19.2, 11.7,
1945, 16.3, 11.5,,5.5, 10.6, 12.4, 14.4,,9.3, 10.9, 10.6, 10.5,,7.5, 10.9,,39.5
1946, 11.5,,9.4,,8.1,,6.8,,9.2, 14.7, 12.2, 15.4, 14.0,,6.9, 20.8, 15.8
1947, 13.8, 13.7, 20.5, 10.6,,8.9, 11.2, 11.1,,1.7,,9.1,,5.3, 11.6, 12.4,
1948, 21.3, 10.8,,4.4,,8.5,,9.8, 17.1,,7.8, 14.5,,9.8,,9.8,
1949,,7.6,,6.6,,7.9,,9.0,,9.0,,5.5,,7.5,,7.3,
1950,,6.9, 15.6,,7.8, 14.9, 10.9,,8.6, 11.8, 16.6, 15.7,,9.4, 19.1, 14.4,
1951, 13.0, 14.7, 14.5, 11.3, 13.1,,7.3,,9.8, 16.3,,8.3,,4.8, 17.7, 12.8,
1952, 13.9,,5.6, 11.2,,7.6,,7.9,,9.3,,7.7, 10.7, 15.8, 12.1, 13.8, 15.8
1953,,7.7,,9.1,,3.2, 12.5,,8.8, 10.5, 15.3, 13.3,,8.8,,7.6, 10.0
1954, 11.1, 13.5, 10.4,,3.5, 11.6, 11.0, 12.6, 19.5, 15.6, 16.2, 17.3, 11.4,,34.0,,25.5
1955,,9.3, 14.9,,9.5,,7.6, 13.6, 10.0,,3.2,,4.7,,8.6,,9.1
1956, 17.8, 14.6,,7.3,,7.7,,4.8, 13.4, 13.3, 19.5,,9.5,,8.9,,7.4
1957, 14.3, 12.1, 11.4,,3.5,,9.8,,9.6, 16.2, 15.2, 14.9, 10.7,,9.5, 10.6,
1958, 11.8, 14.9, 11.3,,7.1, 15.2, 16.4, 15.0, 14.6, 12.5, 10.7,,5.5, 15.2,,37.4,
1959, 11.6,,2.5,,8.5, 11.0,,3.4,,8.8,,8.3,,2.8,,2.4, 10.3
1960, 18.0, 12.2,,9.5,,8.2,,4.3,,5.2, 16.3, 15.6, 12.3, 22.0, 18.3, 14.9,
1961, 17.2,,9.8,,4.1, 14.1,,7.2,,7.2,,9.5, 14.5, 10.6, 17.0, 10.6, 12.2
1962, 13.8,,8.8,,9.5, 10.7, 12.3,,4.3,,7.0, 13.4, 13.5,,4.5, 12.3, 12.5
1963, 10.0,,8.9, 13.0, 13.6, 11.0, 13.5, 11.2, 16.8,,8.6,,9.4, 19.1,,8.2,
1964,,6.2,,5.8, 13.0, 11.6,,7.6, 13.2,,7.6, 10.6,,7.7,,7.3,
1965, 15.7,,7.4, 10.2, 13.1, 12.3,,9.8, 13.3, 11.7, 15.8,,5.0, 18.3, 16.9,,35.7
1966, 12.2, 16.1,,6.6, 15.2, 10.5, 12.2, 12.6, 13.8,,8.1, 14.4, 15.5, 13.7,,45.3,
1967,,9.8, 10.9,,9.0,,8.5, 21.4,,5.8,,8.4, 11.8, 12.7, 15.6, 10.4, 11.6
1968, 10.7,,7.9,,9.6,,9.5, 11.8, 10.7, 11.3, 10.0, 15.0, 11.5, 13.4, 10.9,,30.2
1969, 11.5, 14.0, 11.8, 12.3, 17.2,,9.3,,7.4,,9.9,,7.0,,5.5, 15.4, 13.6
1970, 17.0, 13.0, 12.1, 14.4,,4.5,,5.9, 12.5,,8.1,,7.6,,9.9, 17.1, 13.4
1971, 12.6,,5.6, 11.8,,5.5,,9.1, 11.6,,6.6, 12.7,,5.0,,7.2, 11.9
1972, 17.9, 11.7, 13.6, 11.2, 14.4, 15.1,,8.4,,5.6,,4.3,,4.1, 12.8,,9.9
1973,,7.6,,6.1,,4.1, 12.2, 12.7,,6.7, 11.4,,9.3,,9.7,,9.9
1974, 14.2, 12.3, 11.4,,3.0,,6.8,,8.9, 11.6, 10.6, 15.0, 16.0, 14.2, 12.7,,36.1
1975, 15.2,,5.5, 13.0, 15.0,,7.2,,5.3, 11.2,,5.9, 12.2,,5.0, 12.3,
1976, 10.9,,7.6,,9.2,,5.2, 15.4,,3.4,,5.3,,2.9, 13.9, 21.7,
1977, 14.0, 16.4, 13.8, 12.1,,8.3, 10.6,,5.7, 10.9,,7.1,,9.1, 15.6, 10.9,
1978, 15.3, 15.8, 12.5,,7.9,,7.0, 10.1, 12.2, 13.9, 10.8,,5.4,,8.6, 20.5,
1979, 10.7,,8.3, 16.3, 13.9, 16.7,,7.7,,5.8, 13.3,,6.7, 10.7, 11.7, 18.1,
1980, 13.2, 12.8, 14.9,,3.6,,4.9, 16.8,,9.8, 11.7,,9.0, 16.0, 17.3, 11.9,
1981, 11.9,,6.6, 19.1,,8.9, 13.6,,9.1,,9.7,,5.5, 12.6, 14.2, 11.4, 10.1
1982, 10.8,,6.1, 11.4,,3.4,,7.0, 14.3,,3.8, 13.2, 10.4, 15.8, 15.1, 10.6,
1983, 12.4,,9.9, 13.0, 15.0, 17.5,,6.3,,5.2,,4.5, 12.1, 11.7,,6.6, 14.6
1984, 17.7,,9.3, 12.2,,4.5,,6.6,,8.3,,5.3,,7.8, 14.3, 11.5, 17.4
1985, 17.8,,2.2, 13.5, 12.4, 10.7, 13.6, 13.4, 16.6,,8.3,,5.4, 16.3, 14.9,,31.8
1986, 16.5,,8.0, 12.7, 15.6, 13.5,,6.8,,7.9, 13.8,,2.5, 11.1, 12.5, 16.8,
1987,,7.8,,9.2, 12.2,,8.5, 10.9, 17.3, 11.4, 11.2,,9.2, 14.4, 11.9,,9.1
1988, 16.2, 11.5, 16.2,,7.9, 12.3,,5.5, 19.5, 12.9,,8.8, 12.6,,7.4,,7.2
1989,,5.8,,9.6, 13.3, 14.4,,4.2,,8.3,,5.7,,8.6,,5.1, 12.6
1990, 15.4, 15.1,,5.0,,6.9,,6.9, 14.5,,6.1,,7.7,,8.6, 12.3, 12.3
1991, 11.4, 12.0, 10.9,,8.7,,4.0, 16.1,,8.4,,5.4,,7.8, 10.0, 12.4,
1992,,5.6,,8.2, 13.8, 13.1,,6.4,,5.1, 10.9, 13.0, 13.8, 10.7, 15.2,,8.1
1993, 14.9,,4.7,,5.0, 13.0,,9.7,,9.1, 12.7, 10.6, 12.6, 11.1,,9.6, 17.7
1994, 16.0, 10.5, 13.4, 12.1,,6.9,,7.6,,7.7,,9.0, 12.5, 10.9, 11.9, 14.3,
1995, 14.4, 14.2, 12.9,,5.6, 10.0,,7.9,,6.4,,3.1, 13.7,,7.2, 12.1, 12.4
1996,,9.1, 13.7,,6.9,,7.6,,9.6,,6.0,,8.1, 10.7,,5.3, 12.2
1997,,4.7, 13.7,,6.8,,5.0, 10.9, 17.1, 11.7, 10.2,,6.5,,8.0, 14.7, 15.1
1998, 15.0,,3.9, 11.9, 19.4,,8.2, 15.3, 12.9,,8.2, 10.7, 17.6, 13.6, 14.0,,34.0
1999, 16.3,,7.3, 14.6, 10.9, 11.5, 12.6,,5.2, 12.1, 11.8,,9.6, 10.5, 17.1,,37.6
2000,,9.1, 13.5,,6.7, 18.2, 11.8,,8.4, 10.5, 12.1, 14.8, 16.0, 16.2, 14.2,,39.8
2001,,9.4, 12.5, 11.1, 16.9,,6.1,,8.2,,9.2, 13.9, 14.6, 14.3, 10.6, 10.8,
2002, 11.6, 17.5,,8.4,,7.0, 14.1, 10.3, 13.6, 10.1,,4.1, 14.9, 16.8, 16.5,,39.9
2003, 16.6,,5.1,,5.5,,6.8, 15.0, 10.6, 10.3,,3.5,,6.9,,9.1, 12.1
2004, 17.9, 11.3, 10.8, 13.0,,6.9, 12.3, 15.0, 16.8,,8.6, 18.5,,8.7,,7.3,
2005, 11.7, 12.1,,9.5, 11.9, 11.0,,9.4,,8.0, 11.3,,9.5, 12.5, 12.2, 10.8,
2006,,6.5, 11.0, 15.6,,9.5, 14.4,,4.5,,5.7, 16.1, 10.9, 15.0, 13.4, 12.4,
2007, 15.8, 15.1,,8.3,,2.3, 12.7, 15.1, 16.4,,7.4,,8.4,,5.1, 11.0, 11.2
2008, 18.7,,6.7, 15.4, 15.1,,5.0, 12.2, 12.7, 16.9, 11.9, 11.3, 13.6,,9.7,,36.6
2009, 13.0,,7.9,,7.7,,5.6, 11.3,,8.8, 17.1, 12.1,,4.9, 11.4, 19.1, 19.1
2010, 14.8, 16.8, 10.0,,5.7,,6.1,,7.3,,9.3, 12.8, 13.3, 10.8, 19.8, 10.0,
2011,,9.8, 14.3,,4.2,,2.5,,9.8, 12.5, 10.7, 14.6,,9.6, 12.9,,8.2
2012, 11.2,,4.7,,4.0, 18.3,,9.3, 17.2, 15.5, 13.3,,9.8, 14.3, 14.5, 18.0,
2013, 14.3,,6.7, 11.0,,6.3, 12.1,,8.6,,7.3,,8.8,,8.2, 18.5,
2014, 20.6, 14.5,,9.5,,8.6, 15.0,,8.2,,8.7, 14.5,,4.1, 13.9, 15.6, 10.2
2015, 12.4,,8.5,,9.4,,7.4, 13.7,,6.7, 14.9, 11.6,,7.9,,9.1, 17.4
2016, 18.5, 11.0, 10.3, 15.6,,7.3, 13.9, 10.3, 10.4,,8.5, 12.1, 12.4,,8.6,,47.6
2017,,9.9, 12.4, 10.4,,5.3,,8.0, 12.2, 15.5, 10.4, 17.0,,9.8, 10.8, 11.3,
2018, 14.4, 12.6, 17.3, 11.1,,5.5,,4.2,,5.9,,9.9,,8.1, 10.1, 12.5, 13.2
2019,,6.3,,7.3, 12.3,,5.6, 10.6, 13.8, 11.3, 12.3, 13.3, 15.9, 20.1, 12.0,,26.8
2020,,8.5, 17.6,,7.5,,2.8,,4.1, 14.6, 12.5, 13.2,,8.2, 18.0,,9.7
2021, 17.9, 13.7,,8.1,,3.8, 16.1,,5.3, 11.3,,9.4,,8.0, 12.7,,8.5
