year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1946, -1.9, -0.0, -0.1,,2.8,,3.4,,6.5,,9.3,,7.5,,7.8,,3.5
1947, -1.2, -5.2, -4.1,,2.0,,5.0,,8.0,,9.5,,9.6,,7.1,,5.2
1948, -1.4, -0.1,,1.3,,2.0,,2.9,,6.7,,8.7,,8.4,,7.0,
1949, -0.1,,0.3, -0.5,,3.3,,3.9,,6.4,,9.1,,9.3,,8.3,
1950,,0.3, -1.6,,1.6,,0.7,,4.1,,8.0,,8.8,,8.4,,6.3
1951, -1.6, -1.7, -1.7,,0.1,,2.6,,5.7,,9.1,,8.2,,7.0,,5.1
1952, -3.8, -1.5,,0.8,,2.4,,5.7,,6.6,,8.8,,8.7,,4.9,
1953,,0.2,,0.4, -0.2,,0.1,,5.5,,7.6,,9.0,,8.7,,8.3
1954, -0.6, -2.4, -0.2,,1.1,,4.9,,7.0,,7.8,,8.3,,5.3,,4.8
1955, -2.5, -4.6, -1.8,,2.3,,2.6,,6.4,,9.1,,9.7,,7.4,,2.9
1956, -2.1, -3.6,,0.2, -0.1,,4.8,,6.1,,8.7,,6.6,,7.9,,4.2
1957, -0.0, -1.5,,3.0,,2.4,,3.3,,6.5,,9.4,,8.7,,5.8,
1958, -2.5, -2.2, -2.4,,1.3,,3.2,,6.8,,9.0,,9.1,,8.7,,5.2
1959, -4.1, -1.2,,1.5,,2.6,,4.9,,7.6,,9.1, 10.0,,6.5,,6.2
1960, -1.1, -2.9,,1.0,,3.1,,5.1,,8.2,,8.4,,8.2,,6.5,
1961, -1.5,,1.2,,3.0,,3.1,,4.1,,7.0,,8.4,,8.1,,7.9
1962, -0.9, -0.3, -2.7,,0.8,,4.0,,6.5,,7.5,,7.6,,6.8,,5.3
1963, -4.5, -5.5, -0.0,,2.2,,3.5,,7.8,,8.0,,8.1,,6.5,,4.7
1964,,0.0, -0.0,,0.2,,3.1,,5.8,,6.9,,8.9,,8.1,,6.6
1965, -1.9, -0.8, -1.2,,1.0,,4.6,,7.6,,6.9,,7.6,,6.9,,4.8
1966, -1.3, -1.4,,1.2,,0.4,,3.7,,8.6,,7.8,,7.5,,8.3,
1967,,0.2,,0.7,,1.3,,2.0,,3.7,,6.7,,8.8,,8.5,
1968, -1.1, -3.6,,0.5,,1.1,,2.7,,6.8,,8.5,,8.3,,7.3,
1969,,0.2, -4.1, -2.0,,0.4,,4.2,,6.9,,9.5, 10.0,,7.4,,7.1
1970, -1.2, -3.1, -1.4,,0.2,,5.6,,7.6,,8.2,,9.3,,7.6,,4.4
1971,,0.3,,0.1, -0.0,,1.5,,4.2,,5.7,,8.6,,8.7,,7.6
1972,,0.2, -0.5,,0.3,,2.5,,4.5,,5.5,,8.1,,7.7,,5.0
1973,,0.2, -1.5,,0.2,,0.8,,4.3,,7.7,,9.0,,8.5,,7.1
1974,,1.2,,0.6,,0.1,,0.7,,4.5,,6.4,,8.0,,8.0,
1975,,0.4, -0.6, -0.9,,2.3,,2.8,,6.5,,9.7, 10.6,,6.0,,4.8
1976,,0.3,,0.5, -0.1,,2.3,,5.0,,8.7,,9.8,,8.3,,7.6
1977, -2.4, -1.5,,1.2,,1.2,,3.3,,5.8,,8.7,,8.0,,6.6,
1978, -2.4, -4.3,,1.0,,0.9,,4.6,,7.0,,8.1,,9.2,,7.9,
1979, -4.8, -3.4, -1.2,,1.5,,3.0,,7.6,,8.8,,7.9,,6.4,,6.1
1980, -1.5,,0.3, -0.9,,2.3,,3.4,,7.6,,8.4,,9.3,,8.4,
1981, -1.0, -1.1,,1.0,,0.9,,4.9,,7.0,,8.7,,9.2,,7.6,
1982, -3.2,,0.3,,0.2,,2.4,,3.2,,7.7,,9.1,,9.0,,6.8
1983,,1.3, -2.7,,1.7,,0.3,,4.3,,6.7, 10.3,,9.8,,6.9,
1984, -3.0, -0.4, -0.1,,1.3,,2.9,,7.8,,9.3,,9.1,,6.9,,4.1
1985, -2.8, -1.9, -0.7,,2.1,,4.3,,5.8,,9.1,,8.1,,7.2,,4.9
1986, -1.6, -4.3, -0.4, -0.0,,4.9,,7.0,,8.8,,7.1,,5.1,,4.7,
1987, -2.7, -1.5, -1.1,,2.9,,3.8,,6.0,,9.4,,8.8,,6.4,,3.0
1988, -0.3,,0.2,,0.1,,2.0,,4.5,,8.0,,9.1,,9.0,,7.3
1989,,2.8,,0.4,,0.5,,1.0,,4.9,,6.6,,9.6,,9.0,
1990,,1.2,,1.4,,3.0,,1.6,,4.9,,7.2,,9.0, 10.1,,6.3
1991, -1.8, -2.1,,1.2,,2.2,,5.2,,6.0, 10.9,,9.9,,6.5,,4.9
1992, -0.9,,0.3,,1.8,,2.4,,5.5,,8.5,,8.9,,8.0,,7.0
1993,,0.1,,1.9,,0.8,,2.8,,4.4,,7.7,,8.4,,7.7,
1994, -0.6, -1.6,,0.8,,1.6,,3.0,,7.3,,9.5,,8.4,,6.2,
1995, -1.4, -0.3, -0.8,,2.2,,4.2,,6.9,,9.7,,9.6,,7.4,,6.5
1996,,1.8, -1.7,,0.1,,2.9,,2.7,,7.1,,8.7,,9.8,,7.5
1997, -1.2,,0.5,,2.2,,2.9,,4.3,,7.2,,9.7, 10.9,,6.7,
1998,,0.1,,3.9,,1.5,,1.6,,5.5,,7.0,,9.0,,9.1,
1999,,0.3, -0.3,,1.3,,3.1,,5.7,,7.0,,9.8,,8.5,,9.0
2000,,0.5,,0.4,,2.1,,1.7,,4.4,,6.9,,8.5,,9.4,
2001, -1.5, -1.6, -1.5,,1.6,,4.9,,7.0,,9.5,,9.0,,7.5,,8.1
2002,,0.1,,0.3,,1.1,,2.8,,5.6,,8.2,,9.1, 10.6,,7.6
2003, -0.3, -1.5,,0.7,,2.9,,5.6,,9.0, 10.9,,9.8,,6.9,,2.9
2004,,0.3, -0.4,,0.7,,3.7,,5.4,,8.5,,8.7, 10.8,,7.9,
