year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1933,,5.0,,7.4, 12.2, 14.1, 16.6, 20.5, 23.7, 24.4, 20.5, 14.2,,8.3,,3.4,
1934,,6.8,,7.2,,8.8, 12.5, 16.9, 20.1, 23.8, 21.4, 20.7, 14.5,,8.9, 10.0,
1935,,6.6,,8.7, 10.4, 12.0, 14.7, 20.3, 23.6, 23.4, 18.7, 13.8, 10.1,,5.3,,8.44
1936,,6.7,,5.2, 10.4, 10.4, 15.9, 20.0, 20.0, 21.3, 18.7, 13.4,,9.0,,7.7,
1937,,7.5,,8.5,,7.1, 12.2, 16.7, 19.5, 20.9, 22.4, 18.8, 14.8,,8.7,,5.4
1938,,8.2,,7.8, 14.8, 12.2, 15.3, 20.4, 20.8, 21.5, 18.9, 14.3, 12.3,,6.2,,7.10
1939,,6.9,,8.8,,9.0, 13.5, 15.8, 19.0, 20.7, 21.6, 19.2, 12.1, 11.4,,5.2,
1940,,1.8,,4.1, 10.0, 12.9, 18.2, 21.9, 20.6, 21.2, 19.0, 13.8, 10.0,,6.1,,3.70
1941,,2.4,,6.3,,8.8, 10.6, 13.7, 20.2, 23.8, 19.4, 19.0, 14.2,,9.1,,7.8
1942,,2.7,,2.0,,8.1, 13.5, 16.5, 20.3, 20.7, 22.3, 19.1, 15.1,,8.5,,8.5
1943,,7.1,,9.0, 11.4, 16.3, 18.2, 19.8, 22.0, 21.9, 18.6, 15.3,,9.2,,6.2,
1944,,8.6,,5.9,,9.1, 14.7, 17.1, 18.3, 21.2, 23.2, 17.3, 12.9,,9.3,,5.6
1945,,2.7, 10.6, 12.7, 15.1, 18.0, 20.0, 22.4, 20.5, 18.4, 16.0,,9.9,,7.4,,6.17
1946,,5.7,,8.7,,9.0, 15.6, 15.1, 18.3, 21.9, 19.8, 18.3, 13.5, 10.7,,5.3,
1947,,4.0, -0.2,,7.1, 13.5, 19.5, 21.7, 22.5, 24.7, 21.1, 15.8, 10.4,,7.6,,3.18
1948,,8.3,,7.6, 13.0, 14.4, 16.4, 18.5, 20.2, 20.0, 18.8, 14.2,,9.8,,8.5,
1949,,7.8,,9.7,,8.2, 15.6, 15.7, 20.0, 23.2, 23.0, 22.0, 16.3,,9.5,,8.3
1950,,6.4,,9.2, 11.7, 12.1, 15.2, 22.2, 21.3, 21.6, 17.4, 13.8,,8.7,,3.2,
1951,,6.6,,6.5,,7.8, 11.5, 14.3, 18.8, 22.1, 20.2, 19.0, 14.0, 11.3,,8.3,
1952,,5.4,,6.0,,9.6, 14.6, 18.2, 20.2, 22.2, 21.6, 15.8, 12.8,,6.9,,5.4
1953,,5.0,,7.0, 10.1, 11.9, 17.3, 17.8, 20.5, 21.7, 18.8, 14.2, 10.8,,9.1,,5.75
1954,,5.2,,4.9,,9.3, 11.9, 15.9, 18.1, 18.8, 19.4, 17.6, 15.8, 10.3,,9.1,
1955,,4.6,,3.9,,6.9, 14.1, 14.4, 18.6, 22.1, 23.1, 19.5, 13.5, 10.2,,8.8,
1956,,6.1,,2.0,,9.8, 10.7, 18.1, 17.2, 20.3, 18.4, 18.7, 13.2,,8.6,,7.9
1957,,8.2,,8.5, 12.8, 12.8, 14.9, 21.1, 21.2, 20.1, 16.7, 14.9,,8.9,,7.0,
1958,,6.0,,8.1,,6.9, 11.4, 16.5, 18.2, 20.7, 20.8, 19.3, 14.4,,9.1,,7.5
1959,,4.4,,7.0, 11.0, 14.0, 16.9, 21.0, 23.6, 23.2, 21.1, 17.3, 10.1,,8.5,,6.28
1960,,6.3,,7.1,,8.9, 13.3, 17.4, 21.0, 19.8, 20.1, 17.5, 13.8, 10.5,,6.5,
1961,,5.9,,9.7, 13.2, 14.3, 15.6, 20.7, 20.5, 20.9, 20.0, 15.1,,9.2,,5.8,
1962,,7.2,,7.2,,6.4, 11.7, 14.2, 19.0, 18.9, 19.6, 17.2, 14.8,,8.2,,4.8
1963,,0.2,,1.3,,9.4, 12.6, 15.2, 19.4, 20.1, 18.9, 17.5, 14.2, 11.1,,5.0,
1964,,4.7,,6.9,,6.1, 12.6, 18.7, 18.6, 21.7, 21.4, 20.1, 12.9, 10.6,,6.4,
1965,,5.9,,5.4,,9.3, 12.4, 16.1, 18.9, 18.3, 20.1, 17.1, 15.3,,7.7,,7.1
1966,,4.5,,8.2, 10.2, 11.2, 16.1, 20.7, 19.4, 19.9, 18.8, 14.3,,8.2,,7.9,
1967,,6.4,,8.4, 11.3, 11.5, 15.3, 18.9, 22.8, 21.0, 18.1, 14.5,,8.8,,6.3,
1968,,6.4,,4.6, 10.6, 13.2, 14.5, 19.4, 19.3, 19.3, 18.2, 15.8,,8.9,,4.7,
1969,,7.9,,3.3,,6.2, 12.5, 16.1, 18.9, 22.6, 20.8, 18.6, 17.4,,8.8,,5.1
1970,,5.8,,6.0,,6.9, 10.4, 18.1, 21.9, 20.5, 21.2, 19.6, 15.2, 10.8,,6.5,
1971,,6.7,,7.7,,8.2, 11.1, 16.8, 16.8, 22.2, 20.7, 19.6, 15.9,,9.5,,8.5
1972,,5.7,,6.8, 11.2, 11.9, 15.4, 17.0, 20.3, 20.5, 16.2, 14.6,,9.3,,8.3,
1973,,6.6,,7.3, 10.8, 11.4, 16.1, 20.8, 20.6, 22.3, 19.6, 13.1,,9.0,,7.6,
1974,,8.7,,8.4,,9.2, 12.2, 16.1, 18.7, 20.0, 20.8, 16.8, 10.5,,9.5, 10.2,
1975,,9.3,,7.8,,7.4, 12.1, 13.7, 19.8, 22.8, 24.8, 18.9, 13.7,,9.1,,7.1
1976,,7.9,,7.0,,8.1, 12.4, 17.5, 24.0, 24.9, 23.3, 18.0, 14.2,,9.2,,4.5
1977,,5.0,,8.1, 10.4, 11.6, 14.8, 16.6, 20.6, 19.8, 17.8, 15.9,,9.6,,8.4,
1978,,5.5,,5.0, 10.7,,9.8, 15.3, 18.6, 19.1, 19.7, 18.9, 15.6, 11.4,,6.7,
1979,,2.4,,3.3,,8.2, 11.8, 15.6, 18.8, 21.5, 20.3, 19.0, 15.4,,9.8,,8.2
