year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1943, 18.5,,7.0,,2.7,,7.0,,9.0,,9.7,,9.4, 10.2,,9.6, 11.0
1944, 10.4,,5.2,,1.3,,7.3,,4.5, 10.3, 11.6,,8.6, 10.4, 15.5, 17.8,
1945, 11.0, 10.3,,5.9,,6.7, 10.9, 12.7,,7.8,,9.9, 12.4,,8.6,,3.1
1946, 10.1, 12.7,,6.4,,9.6, 10.8, 16.6,,7.6, 16.7, 15.0,,6.4, 17.8, 14.9,
1947, 14.0,,7.0, 20.4,,9.6, 10.3, 10.5,,9.8,,2.2,,6.2,,2.8,
1948, 21.0,,8.6,,3.9,,9.4, 10.5, 13.2,,6.5, 11.8,,7.2,,8.9,
1949,,7.4,,6.2,,5.3,,7.8,,9.1,,3.1,,4.1,,6.1,
1950,,4.4, 16.3,,7.9, 13.3,,8.7,,7.2, 15.2, 15.2, 17.2,,5.5, 16.3, 10.6
1951, 15.6, 19.8, 18.0, 13.5, 12.1,,5.9,,5.9, 15.9, 11.0,,6.5, 20.9, 12.0,,45.9
1952, 14.2,,5.7, 14.3,,9.9, 11.0,,8.0,,3.8, 12.6, 12.7, 13.5, 11.8, 14.3,
1953,,4.3,,8.0,,4.0, 12.6,,7.5, 10.8, 15.3,,8.1, 11.4, 10.0,,7.5
1954,,7.9, 13.9, 13.1,,2.8, 11.8, 11.8, 11.0, 13.3, 16.3, 11.6, 16.9,,8.0,,27.7
1955, 13.1, 10.9,,6.6,,3.5, 17.0,,8.5,,3.8,,5.2,,7.8,,8.5
1956, 16.2,,3.7,,4.5,,6.8,,3.3, 11.5, 11.2, 19.6, 10.3,,8.9,,5.8
1957, 12.0, 17.4, 10.5,,2.5,,8.8,,7.6, 16.1, 10.7, 13.8,,8.2,,6.8, 12.3
1958, 10.9, 12.6,,8.3,,5.2, 10.6, 12.9, 10.5, 16.5, 11.9, 12.8,,8.6, 14.8,,35.8
1959, 12.0,,0.9, 13.5, 12.9,,5.2,,7.7,,7.2,,6.8,,1.1, 10.7, 14.1
1960, 14.0, 13.9,,9.8,,6.5,,6.8,,9.2, 16.5, 14.6, 12.7, 20.6, 22.6, 16.0,
1961, 14.0, 12.3,,1.0, 13.0,,5.4,,5.0,,6.9,,9.1, 12.4, 13.7,,9.9
1962, 15.9,,4.0,,7.8, 10.8, 10.8,,2.2,,8.4,,9.1, 11.9,,5.6, 12.6
1963,,4.0,,5.4, 14.3, 14.9, 10.2, 12.2,,6.9, 14.7,,9.8, 11.0, 20.4,,5.3
1964,,5.2,,7.0, 10.5, 12.4, 10.8, 10.6,,6.4,,6.1,,4.8,,7.6, 10.0
1965, 14.5,,2.8, 12.3, 12.9, 11.0,,8.9, 12.5, 10.3, 12.9,,3.5, 14.3, 17.9,,29.7
1966, 10.6, 15.2,,5.9, 16.4, 10.3, 10.2, 12.5,,9.7,,5.8, 17.3, 10.5, 16.9,,43.7
1967, 11.6, 10.3,,8.6,,8.5, 18.5,,4.0,,5.3, 10.5, 13.7, 17.9,,8.4, 12.9
1968, 10.9,,7.8,,8.8, 10.6, 11.3, 12.3,,8.7, 11.6, 16.0, 11.1,,8.1,,8.6
1969, 14.9,,9.3,,9.5,,6.1, 17.1,,7.0,,5.0, 10.4,,5.0,,1.9
1970, 17.9, 14.3, 11.9, 14.9,,6.2,,5.8, 11.2,,9.7, 10.0,,6.0, 17.7, 10.2,
1971, 16.7,,6.1,,8.8,,6.0,,9.2, 10.4,,4.8, 12.6,,3.4,,6.7
1972, 16.2, 13.3, 11.3, 11.5, 14.0, 11.0,,7.6,,4.1,,3.7,,4.8, 12.7, 13.9,
1973,,6.8,,5.8,,5.1,,8.7, 14.1,,4.3,,7.5,,5.4,,7.7
1974, 17.2, 13.8,,7.5,,3.0,,6.9, 10.3,,9.1, 12.5, 18.1, 12.1, 18.4,,9.8
1975, 18.6,,6.4, 14.7, 11.6,,7.6,,2.6,,6.3,,7.4, 13.1,,6.6, 10.3
1976,,5.4,,6.5,,4.8,,2.9,,6.3,,2.5,,4.0,,2.0, 15.0
1977, 15.6, 18.0, 14.1,,8.4, 10.3, 10.1,,4.7, 12.9,,6.1, 10.4, 13.3, 13.2,,45.3
1978, 14.1, 13.1, 14.1, 12.5,,7.4,,8.2,,9.1,,8.4,,5.2,,1.8,
1979, 12.9, 10.2, 19.3, 12.0, 13.8,,9.5,,4.5, 10.5,,5.0, 10.1, 12.8, 13.1,,42.3
1980,,7.3, 11.9, 14.4,,3.7,,4.5, 14.0, 13.0,,6.9,,8.4, 12.5,,8.3
1981,,9.3,,5.7, 20.3,,6.1, 17.6,,6.1,,7.0,,3.5, 13.6, 18.1,
1982, 12.6,,9.1, 13.7,,3.9,,9.0, 14.4,,5.6, 10.4, 11.8, 16.0, 15.1, 10.8,
1983, 12.0,,8.6, 13.2, 17.1, 17.5,,5.7,,3.9,,3.6, 12.3,,9.0,,5.0
1984, 18.6,,9.7,,9.4,,1.3, 11.0,,5.4,,5.8,,6.9, 12.2, 13.5, 16.0
1985, 10.8,,4.8, 12.6, 10.9,,7.6, 15.5, 11.0, 15.7,,3.4,,5.1,,8.8, 15.1
1986, 16.6,,4.3, 13.8, 14.1, 13.4,,5.1,,8.1, 10.9,,3.8, 11.9, 15.4, 15.3,
1987,,4.6,,7.6, 11.9,,8.8, 10.1, 14.9,,9.9,,7.2,,9.6, 17.6,
1988, 20.4,,9.2, 14.6,,7.3,,9.5,,5.3, 16.8,,7.4,,7.8, 10.3,
1989,,8.5, 12.0, 13.3, 13.4,,2.1,,7.7,,4.2,,6.7,,5.3, 11.2,
1990, 16.5, 15.0,,2.4,,9.4,,2.4, 10.4,,3.3,,5.7,,6.1, 11.2,
1991, 13.3,,8.3, 10.5,,8.7,,4.4, 18.4, 10.0,,3.0,,7.8,,7.9, 11.4
1992,,5.2,,6.5, 13.0, 11.9,,5.7,,5.9,,9.3, 15.6, 12.9, 10.3, 17.4,
1993, 16.6,,1.6,,3.2, 12.9,,9.6,,9.1, 11.5,,4.5, 13.5, 12.8,,6.3
1994, 17.5, 11.2, 12.2, 12.9, 13.6,,4.9,,5.4, 10.1, 12.9, 10.7, 10.4, 13.7,,48.3,
1995, 17.8, 17.7,,9.5,,4.7,,5.9,,4.7,,6.3,,1.3, 15.5,,5.3
1996,,8.3, 11.4,,7.8,,4.1,,8.9,,3.6,,8.0,,9.3,,5.9
1997,,4.9, 13.5,,3.1,,2.5, 11.4, 15.6,,6.7, 10.6,,3.7,,7.0, 18.0
1998, 12.5,,2.8, 10.3, 19.6,,5.1, 16.1,,7.8,,4.2, 13.8, 17.5, 10.0, 15.4,
1999, 17.9,,9.4,,9.9, 10.2,,6.9, 11.0,,2.6, 12.5, 15.5,,9.1,,8.9
2000,,5.5, 15.1,,6.4, 19.3, 13.8,,5.4,,7.3,,8.5, 11.5, 18.6, 19.0, 16.0
2001, 12.7, 12.5, 16.0, 15.4,,5.4,,4.6,,8.9, 11.2, 11.9, 17.0,,8.4,,5.9
2002, 14.4, 15.8,,9.4,,7.6, 14.2,,9.8, 10.3,,7.5,,3.3, 13.8, 21.5, 17.1
2003, 10.7,,7.1,,4.3,,6.8, 10.5,,7.7,,9.6,,2.6,,2.6,
2004, 16.2,,6.7, 11.3, 13.6,,7.7,,5.5,,7.6, 15.6,,8.1, 17.4,,8.3
2005, 10.1,,7.3,,8.4, 11.7,,7.8,,6.8,,9.9,,8.2,,8.5, 13.2
2006,,6.3,,9.6, 11.2,,8.1, 14.1,,4.1,,7.4, 10.8, 10.4, 14.4, 13.2, 14.0
2007, 15.0, 16.1,,9.0,,0.8, 14.7, 14.7, 16.0,,7.8,,5.0,,5.3,,8.9
2008, 15.2,,5.4, 14.8, 13.4,,9.1,,6.5,,8.8, 15.8,,9.9, 10.8, 13.7,
2009, 11.7,,8.6,,7.2,,9.1,,7.5,,6.3, 15.9,,6.7,,3.5, 10.8
2010, 12.0, 15.9, 11.2,,4.8,,5.6,,5.4,,6.0, 11.7,,8.6, 10.4, 12.3,
2011, 11.5, 12.3,,3.4,,1.2,,4.4, 13.0,,9.4, 11.6,,8.8,,7.7,
2012,,8.9,,3.7,,4.3, 18.7,,9.0, 14.5, 15.7, 11.3,,7.4, 18.3, 12.8, 17.7
2013, 13.7,,6.7,,9.7,,7.8, 12.1,,6.6,,5.7,,7.2,,9.7, 17.1
2014, 23.9, 21.4,,7.6, 11.0, 13.8,,7.0,,7.7, 13.5,,2.9, 16.7, 18.4,,8.1
2015, 15.1,,9.0,,7.1,,5.9, 10.0,,5.4,,8.2, 12.7,,8.7,,8.5
2016, 17.6,,9.9, 10.1, 12.6,,9.0, 15.1,,4.4,,6.0,,9.0,,5.7, 10.5
2017, 10.7, 10.7,,9.7,,2.6,,9.9,,5.3, 10.1,,9.6, 14.6,,6.2,
2018, 16.1,,8.8, 18.7, 12.1,,8.0,,0.6,,4.3,,9.4,,5.4,,7.1
2019,,7.4,,9.5, 12.3,,6.1,,6.7, 10.5,,6.1,,9.7, 11.0, 18.7, 16.8
2020, 12.2, 19.8,,9.5,,5.5,,1.4, 10.8,,8.5, 10.4,,5.3, 20.1,,9.9
2021, 17.5, 11.1,,7.1,,1.9, 16.3,,9.5, 14.0,,7.6,,7.0, 11.9,,4.0
