year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1936, 19.3, 13.1, 13.0, 10.0,,7.7, 12.6, 20.7,,9.6, 13.6, 13.3, 15.4, 17.0,,48.2,
1937, 20.0, 19.7, 15.1, 12.9, 11.1, 10.6, 12.0,,8.7, 13.0, 10.9,,9.1, 15.0,,56.8,
1938, 20.1,,9.1,,8.5,,3.3, 13.5, 13.3, 15.6, 13.2, 13.9, 19.8, 18.7, 18.1,,44.3
1939, 19.1, 13.9, 14.9, 12.5,,7.1, 11.2, 19.2, 11.2,,7.4, 15.1, 21.1, 10.6,,51.1,
1940, 10.0, 12.3, 14.8, 13.5,,9.2,,5.8, 18.3,,7.9, 11.7, 14.8, 19.3, 15.1,,32.9
1941, 12.8, 16.7, 12.3,,9.8, 10.5,,5.6, 12.8, 19.9,,5.6, 14.2, 15.8, 11.7,,44.6
1942, 16.4,,7.7, 11.5,,8.6, 13.4,,5.4, 14.7, 15.8, 15.0, 17.0,,8.1, 19.0,
1943, 20.2, 12.0,,7.7, 11.6, 12.3, 13.5, 10.8, 17.7, 14.5, 14.6, 16.3, 10.2,,51.1,,31.7
1944, 16.3, 10.7,,6.5, 10.8,,9.6, 13.9, 12.6, 11.3, 14.9, 17.7, 21.0, 15.0,,37.2,
1945, 14.9, 15.5,,8.8, 10.0, 16.0, 16.4, 10.9, 10.3, 13.2, 11.2,,5.9, 16.9,,45.4,
1946, 14.0, 14.2,,9.0,,9.1,,9.9, 17.9, 14.4, 18.9, 18.2,,6.3, 19.9, 16.9,
1947, 14.6,,8.7, 19.9, 14.6, 13.1, 14.1, 12.9,,2.0, 12.8,,7.9, 16.0, 13.4,,40.2
1948, 22.9, 12.0,,8.1, 11.9, 10.8, 16.9, 11.1, 15.8, 13.5, 14.2, 11.8, 15.6,,48.3,,30.7
1949, 13.5, 11.3,,9.5, 13.2, 12.2,,6.4,,8.0, 11.0,,8.2, 16.5, 17.8, 18.5,
1950, 10.0, 16.8, 10.7, 17.4,,9.7, 10.6, 16.3, 18.6, 21.3, 12.6, 18.6, 14.8,,45.3,,37.8
1951, 17.2, 17.6, 17.3, 14.3, 11.1,,8.9, 11.0, 19.1, 12.1,,7.3, 21.8, 17.5,,49.6,
1952, 16.9,,8.9, 12.4, 10.9, 11.3, 12.0,,9.6, 14.7, 14.5, 15.7, 14.2, 18.4,,43.4,
1953,,9.1, 10.4,,5.4, 13.8, 10.5, 11.3, 18.9, 13.9, 13.1, 11.0, 13.9, 12.0,,37.9,
1954, 12.4, 15.7, 13.1,,5.8, 12.6, 13.3, 15.5, 17.5, 19.5, 19.0, 19.5, 16.7,,40.1,,31.5
1955, 13.6, 13.6,,8.5,,9.4, 16.3, 11.1,,3.5,,6.4, 12.8, 12.6,,9.9, 18.7
1956, 18.0,,9.4,,8.1,,9.0,,8.5, 13.4, 14.3, 20.2, 13.0, 12.3, 10.0, 17.9,
1957, 16.4, 15.5, 15.1,,6.1, 10.1,,9.7, 16.1, 15.4, 16.6, 13.7,,9.3, 14.6,,49.8
1958, 15.8, 16.2, 10.5,,8.5, 15.0, 15.0, 14.9, 17.6, 13.5, 14.0,,8.8, 17.1,,46.6,
1959, 13.6,,5.1, 13.4, 15.4,,7.0, 11.3, 11.1,,7.1,,3.6, 12.8, 18.3, 22.8,
1960, 16.2, 15.0, 10.1, 10.3,,6.7,,9.7, 18.8, 18.3, 13.6, 19.8, 21.1, 16.7,,53.9,
1961, 16.2, 14.2,,7.2, 16.1,,7.7,,9.0, 10.7, 15.3, 14.7, 18.9, 12.4, 13.6,,47.2
1962, 18.4, 10.3,,9.6, 11.6, 13.4,,7.5,,9.4, 16.1, 15.4,,8.2, 13.1, 14.0,
1963,,7.2,,6.3, 16.3, 15.0, 14.5, 14.0, 11.8, 17.4, 12.4, 14.0, 20.5,,7.4,,27.5
1964,,8.0,,7.9, 10.4, 14.4, 12.2, 12.2, 10.2, 11.9, 11.0, 11.3, 12.2, 16.0,,23.3,
1965, 16.2,,5.8, 12.1, 14.7, 13.5, 13.1, 14.3, 13.3, 16.0,,8.0, 15.5, 20.4,,38.0,
1966, 10.9, 16.3, 12.4, 14.2, 13.7, 14.5, 12.9, 12.3, 10.2, 17.0, 15.4, 20.5,,47.6,,40.3,
1967, 14.2, 13.0, 14.2, 10.0, 20.4,,7.7, 11.8, 13.0, 15.7, 21.2, 13.4, 15.5,,47.7,,44.7
1968, 15.1,,9.3, 12.9, 11.4, 13.0, 12.3, 10.6, 10.6, 15.7, 15.0, 11.2, 11.4,,39.9,,37.3
1969, 17.1, 12.9,,9.5, 11.2, 18.2, 10.2,,8.8, 12.1,,9.1,,8.7, 17.2, 14.8,
1970, 17.7, 15.8, 15.3, 16.3,,8.2,,8.2, 14.9, 10.1, 13.6, 13.5, 20.5, 12.5,,48.4,
1971, 16.1,,9.1, 12.2,,6.6, 10.8, 12.5,,8.0, 13.9,,7.1, 11.2, 14.5, 10.1,
1972, 17.2, 13.6, 13.0, 13.4, 15.2, 16.1,,9.5,,8.0,,5.2,,6.8, 15.7, 14.5,
1973, 10.9, 11.3,,7.5, 11.7, 14.7,,7.9, 11.4, 10.6, 11.5, 10.5, 12.2, 15.4,,36.7,
