year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1942, 12.9,,3.9, 10.0,,7.1, 13.4,,3.1, 10.1, 13.4, 10.7, 13.0,,6.7, 16.2,
1943, 19.0,,7.1,,4.1,,7.1,,9.4, 10.1,,8.8, 11.7, 11.0, 10.8, 13.7,
1944, 10.8,,6.8,,2.4,,8.4,,5.4, 10.7, 11.4,,8.8, 11.6, 15.9, 18.5, 10.1
1945, 11.7, 10.5,,6.0,,7.2, 12.4, 13.8,,7.9, 10.2, 11.1,,8.8,,4.5, 15.1
1946, 10.2, 12.5,,6.1,,8.0, 10.7, 16.8,,8.8, 17.0, 15.2,,6.8, 18.1, 15.4,
1947, 13.3,,8.0, 21.3, 10.9, 10.3, 10.5, 10.7,,2.2,,7.8,,3.2, 10.8, 12.0,
1948, 22.0,,8.7,,4.5,,9.9,,9.8, 14.3,,7.3, 12.8,,7.5, 10.2,
1949,,7.7,,6.2,,6.0,,8.6,,9.9,,3.6,,5.8,,6.9,
1950,,5.3, 16.0,,7.9, 14.0,,9.2,,7.3, 13.7, 15.2, 17.6,,6.9, 18.2, 11.9
1951, 14.9, 17.6, 17.7, 13.2, 13.0,,7.0,,6.4, 16.6, 11.0,,6.4, 20.2, 12.3,,44.4
1952, 14.5,,5.9, 12.8, 11.2, 11.4,,8.6,,4.5, 12.7, 13.0, 13.5, 13.0, 15.5,,32.7
1953,,4.8,,7.9,,4.5, 12.6,,8.3, 11.2, 15.4,,9.4, 10.7,,9.5,
1954,,8.6, 13.9, 12.5,,3.3, 11.2, 10.9, 13.1, 15.3, 15.7, 13.9, 16.9,,9.6,,29.4
1955, 12.5, 12.1,,7.0,,6.3, 15.5,,9.6,,3.0,,4.9,,8.3,,8.7
1956, 16.3,,5.2,,5.4,,6.6,,4.3, 11.2, 11.7, 18.9, 10.7,,9.6,,7.1
1957, 12.3, 15.7, 12.1,,2.1,,8.8,,7.8, 15.9, 12.2, 14.6,,9.0,,6.6, 12.2
1958, 12.4, 13.3,,9.0,,5.1, 11.5, 14.7, 12.3, 15.3, 12.9, 11.8,,8.5, 15.1,,37.9
1959, 12.7,,1.2, 13.1, 12.7,,5.4,,8.2,,7.9,,6.0,,1.0, 11.3, 14.0
1960, 14.7, 12.9,,9.6,,6.7,,5.4,,8.4, 17.2, 15.6, 12.6, 20.5, 21.3, 14.8,
1961, 15.4, 12.4,,1.9, 14.9,,5.6,,5.1,,8.2, 11.5, 11.6, 15.3, 10.2, 12.9,
1962, 15.3,,5.4,,7.8, 10.9, 12.4,,2.8,,9.0, 11.3, 12.4,,5.4, 11.6, 10.7
1963,,5.2,,6.0, 14.7, 15.2, 10.7, 12.1,,8.9, 15.7,,8.9,,9.8, 19.3,
1964,,5.4,,7.1, 10.4, 11.9,,9.9, 10.8,,7.0,,7.2,,5.2,,9.1
1965, 14.9,,3.4, 12.2, 12.5, 12.1,,9.8, 14.7, 10.7, 13.6,,4.2, 14.9, 18.6,,31.0
1966, 10.5, 15.2,,6.7, 16.2, 11.1, 11.7, 11.6, 10.6,,6.4, 16.4, 12.1, 17.2,,44.2,
1967, 11.3, 10.0,,7.8,,8.7, 19.5,,4.1,,7.4, 11.0, 14.5, 18.1,,9.9, 13.2
1968, 11.3,,7.1,,8.9, 11.1, 12.0, 12.7,,9.1, 11.7, 15.6, 11.2, 10.1,,9.6,
1969, 14.7, 11.3,,9.9,,8.6, 17.8,,7.6,,5.2, 10.7,,5.0,,2.7, 14.0
1970, 17.9, 15.3, 12.6, 14.8,,5.3,,6.9, 11.2,,9.0,,9.3,,7.7, 17.8,
1971, 16.5,,6.0,,9.7,,5.3,,8.6, 11.0,,5.6, 13.1,,4.4,,7.7
1972, 15.4, 13.5, 12.3, 11.5, 14.0, 12.7,,7.8,,5.0,,4.1,,4.8, 11.8, 13.3,
1973,,7.3,,7.5,,5.0,,9.9, 13.6,,4.8,,9.5,,5.7,,9.4
1974, 16.5, 13.7,,8.6,,3.1,,7.8,,9.9,,9.5, 12.8, 18.2, 14.1, 16.9, 10.5
1975, 17.5,,6.3, 14.7, 13.6,,7.1,,3.4,,8.8,,7.0, 11.9,,5.5, 11.4
1976,,7.3,,7.2,,6.2,,3.2,,9.3,,2.7,,4.5,,2.8, 14.2
1977, 15.0, 19.1, 14.6, 10.3,,9.9, 10.7,,4.4, 12.4,,5.7, 10.1, 13.6, 12.7,,46.6
1978, 14.6, 13.2, 14.4, 10.6,,7.0,,9.8, 10.8, 10.1,,6.7,,2.6,,6.9, 19.5
1979, 13.8, 10.4, 18.7, 13.0, 15.0,,7.5,,4.3, 11.0,,5.3, 10.6, 12.8, 15.4,,43.7
1980,,8.8, 12.8, 15.3,,4.1,,4.7, 15.3, 11.4,,8.4,,8.3, 14.0, 10.7, 11.6
1981, 10.7,,7.1, 19.6,,7.0, 17.2,,6.1,,8.2,,3.7, 13.7, 16.9,,9.7
