year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1944,,2.8,,0.2,,0.0,,4.9,,5.1,,9.0, 12.2, 12.5,,8.2,
1945, -2.7,,3.6,,2.9,,5.0,,7.4,,9.9, 11.7, 11.3, 10.9,,7.6,
1946, -0.2,,3.2,,1.1,,4.1,,5.9,,8.8, 11.2, 10.5, 10.3,,6.8,
1947, -1.2, -3.8,,1.0,,4.1,,7.9, 10.6, 12.5, 12.9, 10.3,,5.6,,4.1,
1948,,2.7,,1.4,,3.0,,4.1,,6.1,,9.6, 11.1, 10.9,,9.7,
1949,,2.1,,1.3,,1.0,,5.3,,5.7,,9.2, 11.8, 11.7, 12.3,,8.3
1950,,1.5,,2.6,,3.4,,3.7,,6.6, 11.1, 11.8, 11.5,,9.6,,6.2
1951,,1.6,,1.0,,1.4,,2.4,,6.1,,8.8, 11.5, 10.9, 10.5,,5.5
1952,,0.1, -0.3,,3.4,,4.8,,8.2,,9.5, 11.9, 12.1,,6.8,,5.7
1953,,0.3,,0.6,,0.3,,3.6,,7.7,,9.7, 11.2, 11.5,,9.3,
1954, -0.2, -0.1,,2.7,,2.0,,6.6,,9.5, 10.5, 10.6,,9.1,,8.8,
1955,,0.1, -1.1, -0.7,,4.0,,5.5,,9.7, 11.8, 12.5,,9.3,,4.7,
1956,,0.7, -4.3,,2.0,,1.9,,6.1,,8.8, 11.8,,9.9, 11.0,,5.7
1957,,2.4,,2.7,,5.5,,4.5,,5.7,,9.5, 12.8, 11.5,,9.3,
1958,,0.7,,1.9,,0.5,,2.8,,6.9,,9.5, 11.6, 12.0, 11.3,,7.8
1959, -1.1,,0.6,,3.6,,5.4,,6.9,,9.7, 11.8, 12.3,,9.6,,7.7
1960,,1.2,,1.1,,3.4,,4.1,,7.8, 10.5, 11.2, 10.7,,9.3,,7.4
1961,,1.0,,4.2,,2.6,,6.5,,6.2,,9.2, 10.8, 11.4, 11.1,,7.1
1962,,1.3,,0.9, -1.3,,3.6,,5.8,,7.9, 10.7, 10.6,,8.5,,6.4
1963, -5.4, -3.5,,2.2,,4.5,,5.8, 10.1, 10.5, 10.5,,9.2,,7.4,,5.6
1964,,0.3,,1.5,,1.7,,4.5,,8.4,,9.7, 11.7, 11.1,,9.3,
1965,,0.8, -0.0,,1.4,,3.6,,7.1,,9.3, 10.4, 10.6,,8.0,,6.9
1966,,0.3,,3.9,,2.3,,4.5,,6.2, 10.6, 10.8, 10.3,,9.6,,7.5
1967,,1.6,,2.2,,3.5,,3.5,,6.7,,9.1, 12.1, 11.4, 10.2,,8.1
1968,,1.0, -0.7,,2.6,,3.2,,5.7, 10.1, 10.9, 11.8, 10.4,,9.8,,4.0
1969,,3.1, -1.6,,0.9,,2.9,,7.1,,8.7, 12.0, 12.1, 10.3,,8.6,
1970,,1.4, -0.0, -0.0,,2.8,,7.5, 10.6, 10.9, 11.3, 10.1,,7.0,,4.9,
1971,,1.9,,1.0,,1.3,,3.7,,6.6,,8.8, 11.8, 12.2,,8.8,
1972,,1.2,,2.1,,2.5,,4.8,,6.5,,7.7, 11.2, 10.5,,7.6,
1973,,1.7,,0.5,,1.1,,3.0,,7.1,,9.7, 11.1, 12.3, 10.2,,5.3
1974,,3.3,,2.5,,2.2,,3.7,,6.0,,9.2, 11.2, 10.7,,8.5,
1975,,4.1,,1.4,,2.1,,4.0,,5.9,,8.7, 12.3, 12.9,,9.3,
1976,,2.7,,1.6,,1.1,,3.0,,7.3, 11.4, 12.8, 11.4,,9.6,,8.0
1977,,0.6,,2.9,,3.9,,3.0,,6.0,,8.3, 11.3, 11.2,,9.3,
1978,,0.4,,0.0,,2.9,,2.9,,6.6,,9.2, 11.0, 10.7,,9.6,
1979, -3.2, -1.3,,1.5,,3.9,,5.7,,9.6, 11.6, 10.6,,8.7,,7.7,
1980, -0.7,,2.7,,1.8,,4.2,,5.8,,9.5, 10.5, 11.9, 11.0,,5.3,
1981,,1.6, -0.6,,5.6,,3.9,,7.4,,9.2, 11.4, 11.6, 10.0,,5.1,
1982,,0.3,,1.9,,1.9,,3.7,,6.4, 11.4, 12.2, 11.9, 10.0,,7.1,
1983,,3.9, -0.9,,2.5,,2.9,,6.6, 10.5, 14.0, 12.4, 10.3,,7.0,,4.6
1984,,1.2,,0.9,,1.6,,2.5,,5.6,,9.5, 11.0, 12.5, 10.0,,7.8
1985, -2.7, -1.0,,0.7,,4.3,,6.8,,8.9, 11.8, 11.1, 10.1,,7.5,,0.9
1986,,0.7, -3.7,,1.1,,2.2,,6.7,,9.9, 11.8, 10.2,,6.7,,7.5
1987, -1.8,,0.5,,0.8,,5.4,,5.8,,9.3, 11.7, 11.2, 10.2,,6.7,
1988,,2.9,,1.4,,3.5,,3.9,,7.7,,9.8, 11.2, 10.9,,9.8,
1989,,2.8,,2.5,,4.2,,3.0,,8.0,,9.4, 13.0, 11.6, 11.0,,8.6
1990,,4.0,,4.8,,4.3,,3.1,,7.1,,9.4, 11.3, 12.9,,8.4,
1991,,1.4, -2.0,,4.5,,3.8,,6.2,,8.5, 12.8, 12.5, 10.1,,6.7,
1992,,1.0,,1.6,,4.3,,4.6,,8.3, 10.2, 12.7, 12.3, 10.0,,4.4,
1993,,3.1,,1.8,,2.3,,5.8,,7.7, 10.5, 11.3, 10.2,,8.6,,5.8
1994,,2.5,,0.6,,4.5,,4.1,,7.1,,9.7, 13.2, 12.3,,9.6,
1995,,1.8,,4.1,,1.6,,4.8,,6.6,,9.4, 13.4, 13.5,,9.6,
1996,,2.7, -0.6,,1.4,,4.1,,4.8,,9.1, 11.4, 11.7,,9.4,,7.9
1997, -0.8,,3.4,,4.2,,3.6,,6.7, 10.6, 11.8, 14.7,,9.8,,6.4,
1998,,2.5,,2.6,,4.8,,4.5,,8.6, 10.8, 11.7, 10.9, 11.3,,7.5,
1999,,3.1,,2.0,,3.6,,5.3,,8.7,,9.3, 12.6, 12.3, 11.8,,6.7
2000,,1.3,,3.0,,3.7,,4.2,,8.2, 10.8, 11.1, 12.1, 11.2,,7.4,
2001,,0.9,,1.6,,3.0,,4.3,,7.5,,9.5, 12.5, 12.8,,9.7, 10.7
2002,,2.8,,4.1,,4.0,,4.6,,8.0, 10.2, 11.8, 12.7,,9.7,,6.9
2003,,1.5,,0.7,,3.2,,4.4,,7.5, 11.2, 13.0, 13.4,,8.7,,5.1
2004,,2.4,,2.5,,2.8,,4.9,,7.4, 10.7, 11.6, 13.4, 10.9,,7.7,
2005,,3.0,,1.4,,3.2,,4.9,,6.9, 10.8, 12.5, 11.1, 10.9, 10.2,,2.5
2006,,1.8,,0.9,,1.8,,4.8,,8.3, 10.6, 14.2, 12.4, 13.1, 10.3,,4.6
2007,,4.4,,3.2,,3.2,,6.0,,8.3, 11.4, 11.8, 11.2,,9.8,,6.9
2008,,3.8,,1.1,,3.0,,4.0,,9.0, 10.2, 12.0, 13.0,,9.5,,5.8
2009, -0.4,,1.2,,2.5,,5.6,,7.7, 10.1, 12.4, 12.5, 10.3,,8.1,,6.6
2010, -1.3,,0.6,,2.4,,3.7,,5.8, 10.0, 13.1, 11.7,,9.7,,7.1,
2011,,1.8,,3.6,,2.4,,6.6,,7.8,,9.7, 10.8, 11.8, 11.2,,8.9
2012,,2.8,,0.3,,3.3,,3.4,,8.1, 10.4, 11.6, 12.8,,8.7,,7.1
2013,,1.5,,0.3,,0.4,,3.2,,6.0,,9.7, 12.8, 12.5,,9.8,
2014,,3.0,,3.7,,3.3,,6.1,,8.2, 10.6, 13.1, 11.1, 10.8,,9.8,
2015,,1.4,,0.8,,3.1,,4.3,,7.3,,9.6, 11.9, 12.2,,8.4,
2016,,2.4,,2.1,,2.1,,3.6,,8.1, 11.4, 12.7, 12.8, 12.4,,7.1,
2017,,0.2,,3.6,,5.5,,4.2,,8.7, 11.9, 13.2, 11.8,,9.8,,9.1
2018,,2.9, -0.5,,2.1,,6.7,,8.0, 11.1, 13.7, 12.5,,9.3,,6.9,
2019,,0.7,,2.2,,4.8,,4.4,,6.4, 10.5, 12.8, 12.4, 10.2,,7.5,
2020,,3.8,,3.8,,3.2,,5.1,,7.1, 10.9, 11.7, 14.1,,9.9,,7.8
2021,,0.7,,2.3,,3.1,,1.2,,6.0, 11.5, 13.3, 12.1, 11.6,,8.8,
