year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1935, 11.1, 16.4, 11.2, 15.2,,5.6, 17.9,,9.5, 10.6, 17.1, 22.2, 20.0, 13.2,,50.2,
1936, 18.1, 13.0, 12.9,,8.1,,9.0,,9.0, 20.5, 10.4, 13.4, 13.6, 13.8, 16.7,,44.3
1937, 22.7, 17.5, 16.8, 11.9, 10.8, 12.9, 15.8, 12.2, 11.6, 13.5,,8.7, 16.5,,56.9,,39.6
1938, 19.4, 10.8,,9.4,,3.6, 15.9, 16.2, 17.3, 12.9, 15.8, 20.6, 20.3, 20.0,,46.8,
1939, 19.3, 16.2, 18.9, 11.5,,7.6, 11.8, 18.7, 10.5, 10.4, 17.2, 23.0, 10.1,,55.5,,38.0
1940, 11.6, 11.4, 17.4, 13.4,,9.5,,5.0, 22.6, 10.6, 12.3, 15.9, 19.7, 15.3,,33.1,
1941, 13.9, 18.7, 11.8, 13.0, 11.4,,4.9, 13.7, 20.3,,7.1, 17.5, 19.2, 10.6,,47.9,
1942, 17.6, 11.0, 11.5,,8.8, 12.8,,7.7, 15.7, 16.5, 15.8, 18.1,,6.1, 18.7,,39.3
1943, 18.5, 12.3,,7.7, 12.2, 14.3, 14.1, 11.0, 20.8, 13.4, 16.0, 14.9, 10.4,,49.4,,34.2
1944, 15.3, 12.2,,8.3, 12.0, 13.7, 16.2, 12.0, 10.9, 16.2, 16.3, 19.0, 15.7,,37.9,,34.0
1945, 18.4, 15.6,,9.8, 10.7, 19.7, 15.7, 13.6,,9.2, 14.9, 13.1,,8.4, 17.5,,49.7
1946, 13.4, 12.3, 12.3,,6.1, 11.0, 17.8, 17.8, 18.2, 17.6,,5.4, 20.4, 15.9,,43.2,
1947, 16.7, 12.3, 18.3, 17.0, 15.1, 16.6, 11.4,,1.5, 13.2, 11.6, 17.5, 13.1,,45.0,,50.4
1948, 22.4, 14.9,,8.6,,9.7, 13.8, 17.7, 13.6, 19.2, 14.0, 15.9, 12.1, 17.0,,50.4,
1949, 13.6, 12.5, 11.6, 12.1, 12.8,,9.3,,8.8, 12.2, 10.2, 15.3, 17.9, 20.9,,43.2,
1950, 12.9, 15.8, 11.8, 15.5, 10.0, 11.4, 18.7, 17.5, 21.2, 13.8, 17.7, 14.5,,49.7,,37.2,
1951, 17.6, 16.7, 16.8, 14.8,,9.7, 10.1, 13.2, 19.9,,9.7,,6.7, 21.6, 15.7,,48.9
1952, 15.1,,9.5, 12.0,,7.9, 10.9, 13.8, 12.8, 15.2, 13.2, 17.2, 13.8, 18.0,,40.3,
1953,,9.0,,9.6,,4.8, 14.0, 11.9, 11.6, 22.1, 15.7, 13.8, 10.2, 15.8, 15.2,,36.6
1954, 13.4, 15.6, 11.4,,6.7, 14.5, 14.3, 14.9, 18.1, 19.5, 19.6, 19.5, 19.2,,44.1,,32.5
1955, 12.6, 15.8, 10.7,,8.7, 16.0,,8.8,,3.5,,6.6, 12.6, 12.9, 10.4, 19.4,
1956, 15.7, 13.8,,9.3, 10.1,,8.2, 14.2, 13.2, 19.8, 14.3, 12.1,,8.4, 19.4,,49.0
1957, 17.3, 13.0, 15.6,,8.4, 11.3, 11.9, 15.0, 15.5, 14.3, 13.6, 10.6, 12.3,,49.8,,35.3
1958, 14.0, 16.6, 12.8,,9.4, 15.9, 12.9, 16.6, 18.2, 12.0, 12.6,,6.5, 17.7,,42.9,
1959, 11.1,,6.1, 11.4, 15.8,,7.1, 12.4, 10.4,,5.9,,5.3, 11.9, 20.1, 23.3,
1960, 16.8, 16.3, 11.2, 13.1,,6.8, 11.0, 19.1, 21.8, 13.0, 23.5, 18.6, 15.4,,56.4,,31.1
1961, 15.7, 14.0,,8.6, 15.2,,8.7, 10.0, 10.7, 15.2, 15.6, 19.4, 11.5, 13.1,,45.1,
1962, 17.5, 12.2, 10.1, 11.1, 12.8,,9.0,,9.7, 17.5, 17.3,,8.6, 15.5, 16.9,,42.8
